base_name,runtime_seconds
32_32_U1_AR_CK_Multgen_resyn3,.033100328
32_32_U1_AR_CL_Multgen_resyn3,.033064739
32_32_U1_AR_RC_Multgen_resyn3,.031714298
32_32_U1_BD_KS_Multgen_resyn3,.035598655
32_32_U1_CN_RC_Multgen_resyn3,.033892671
32_32_U1_CT_BK_Multgen_resyn3,.034883735
32_32_U1_DT_LF_Multgen_resyn3,.033447828
32_32_U1_WT_CL_Multgen_resyn3,.033866617
32_32_U1_WT_RC_Multgen_resyn3,.034043429
32_32_U2_AR_CL_Multgen_resyn3,.034328119
32_32_U2_AR_RC_Multgen_resyn3,.031238538
32_32_U2_CT_BK_Multgen_resyn3,.031203890
32_32_U2_DT_LF_Multgen_resyn3,.034063517
32_32_U2_OS_CU_Multgen_resyn3,.210472544
32_32_U2_WT_CL_Multgen_resyn3,.037657339
32_32_U2_WT_CS_Multgen_resyn3,.033833928
32_32_U2_WT_RC_Multgen_resyn3,.032197034
