base_name,runtime_seconds
64_64_U1_4to2_BK_Multgen_mfs,.034056304
64_64_U1_4to2_HCA_Multgen_mfs,.038102618
64_64_U1_4to2_JCA_Multgen_mfs,.037108223
64_64_U1_4to2_KS_Multgen_mfs,.038241338
64_64_U1_4to2_LF_Multgen_mfs,.037937883
64_64_U1_4to2_RC_Multgen_mfs,.038103843
64_64_U1_DT_BK_Multgen_mfs,.038111240
64_64_U1_DT_HCA_Multgen_mfs,.037731916
64_64_U1_DT_JCA_Multgen_mfs,.038338762
64_64_U1_DT_KS_Multgen_mfs,.038107188
64_64_U1_DT_LF_Multgen_mfs,.038880677
64_64_U1_DT_RC_Multgen_mfs,.036570949
64_64_U1_WT_BK_Multgen_mfs,.038055157
64_64_U1_WT_HCA_Multgen_mfs,.037720554
64_64_U1_WT_JCA_Multgen_mfs,.037601515
64_64_U1_WT_KS_Multgen_mfs,.038622409
64_64_U1_WT_LF_Multgen_mfs,.039278270
64_64_U1_WT_RC_Multgen_mfs,.037793762
64_64_U2_4to2_BK_Multgen_mfs,.038122167
64_64_U2_4to2_HCA_Multgen_mfs,.038787157
64_64_U2_4to2_JCA_Multgen_mfs,.035319777
64_64_U2_4to2_KS_Multgen_mfs,.036639359
64_64_U2_4to2_LF_Multgen_mfs,.035568474
64_64_U2_4to2_RC_Multgen_mfs,.036993116
64_64_U2_DT_BK_Multgen_mfs,.091901677
64_64_U2_DT_HCA_Multgen_mfs,.035275154
64_64_U2_DT_JCA_Multgen_mfs,.036872617
64_64_U2_DT_KS_Multgen_mfs,.037807394
64_64_U2_DT_LF_Multgen_mfs,.061501657
64_64_U2_DT_RC_Multgen_mfs,.043093445
64_64_U2_WT_BK_Multgen_mfs,.048138110
64_64_U2_WT_HCA_Multgen_mfs,.057680062
64_64_U2_WT_JCA_Multgen_mfs,.060200851
64_64_U2_WT_KS_Multgen_mfs,.035437217
64_64_U2_WT_LF_Multgen_mfs,.036674488
64_64_U2_WT_RC_Multgen_mfs,.056443499
64_64_U_SP_AR_BK_GenMul_mfs,.037071085
64_64_U_SP_AR_CK_GenMul_mfs,.038194415
64_64_U_SP_AR_CL_GenMul_mfs,.037984963
64_64_U_SP_AR_KS_GenMul_mfs,.036799767
64_64_U_SP_AR_LF_GenMul_mfs,.037646231
64_64_U_SP_AR_RC_GenMul_mfs,.038268532
64_64_U_SP_AR_SE_GenMul_mfs,.037741825
64_64_U_SP_CWT_BK_GenMul_mfs,.037280046
64_64_U_SP_CWT_CK_GenMul_mfs,.038539198
64_64_U_SP_CWT_CL_GenMul_mfs,.035028486
64_64_U_SP_CWT_KS_GenMul_mfs,.038101179
64_64_U_SP_CWT_LF_GenMul_mfs,.038157858
64_64_U_SP_CWT_RC_GenMul_mfs,.039058178
64_64_U_SP_CWT_SE_GenMul_mfs,.058962396
64_64_U_SP_DT_BK_GenMul_mfs,.038847973
64_64_U_SP_DT_CK_GenMul_mfs,.034503487
64_64_U_SP_DT_CL_GenMul_mfs,.043623557
64_64_U_SP_DT_KS_GenMul_mfs,.056633970
64_64_U_SP_DT_LF_GenMul_mfs,.037418163
64_64_U_SP_DT_RC_GenMul_mfs,.098240279
64_64_U_SP_DT_SE_GenMul_mfs,.036031830
64_64_U_SP_WT_BK_GenMul_mfs,.040543754
64_64_U_SP_WT_CK_GenMul_mfs,.038143663
64_64_U_SP_WT_CL_GenMul_mfs,.038767308
64_64_U_SP_WT_KS_GenMul_mfs,.038393178
64_64_U_SP_WT_LF_GenMul_mfs,.038633068
64_64_U_SP_WT_RC_GenMul_mfs,.036561349
64_64_U_SP_WT_SE_GenMul_mfs,.037960574
128_128_U1_4to2_BK_Multgen_mfs,.037859191
128_128_U1_4to2_HCA_Multgen_mfs,.037268905
128_128_U1_4to2_JCA_Multgen_mfs,.037383799
128_128_U1_4to2_KS_Multgen_mfs,.051104383
128_128_U1_4to2_LF_Multgen_mfs,.046450038
128_128_U1_4to2_RC_Multgen_mfs,.052730965
128_128_U1_DT_BK_Multgen_mfs,.037142756
128_128_U1_DT_HCA_Multgen_mfs,.036001899
128_128_U1_DT_JCA_Multgen_mfs,.038426197
128_128_U1_DT_KS_Multgen_mfs,.088862199
128_128_U1_DT_LF_Multgen_mfs,.102937620
128_128_U1_DT_RC_Multgen_mfs,.170433428
128_128_U1_WT_BK_Multgen_mfs,.066829307
128_128_U1_WT_HCA_Multgen_mfs,.035524619
