,booth_mult10_7nm_mapped_root,boot_mult10,boot_mult10_root,booth_mult10_root,booth_mult12_7nm_mapped_root,booth_mult704_7nm_mapped_root,booth_mult8_root,booth_mult8_shared,booth_mult32_root,booth_mult32_shared,booth_mult64_root,booth_mult64_shared,booth_mult8_7nm_mapped_root,booth_mult8_7nm_mapped_shared,booth_mult64_7nm_mapped_root,booth_mult64_7nm_mapped_shared,booth_mult64_mapped_root,booth_mult64_mapped_shared,booth_mult128_mapped_root,booth_mult128_mapped_shared,booth_mult768_mapped_root,booth_mult768_mapped_shared,booth_mult192_mapped_root,booth_mult192_mapped_shared,booth_mult256_mapped_root,booth_mult256_mapped_shared,booth_mult320_mapped_root,booth_mult320_mapped_shared,booth_mult384_mapped_root,booth_mult384_mapped_shared,booth_mult448_mapped_root,booth_mult448_mapped_shared,booth_mult512_mapped_root,booth_mult512_mapped_shared,booth_mult576_mapped_root,booth_mult576_mapped_shared,booth_mult640_mapped_root,booth_mult640_mapped_shared,booth_mult704_mapped_root,booth_mult704_mapped_shared,booth_mult32_mapped_root,booth_mult32_mapped_shared,booth_mult24_mapped_root,booth_mult24_mapped_shared,booth_mult8_mapped_root,booth_mult8_mapped_shared,booth_mult28_mapped_root,booth_mult28_mapped_shared,booth_mult128_7nm_mapped_root,booth_mult128_7nm_mapped_shared,booth_mult192_7nm_mapped_root,booth_mult192_7nm_mapped_shared,booth_mult256_7nm_mapped_root,booth_mult256_7nm_mapped_shared,booth_mult320_7nm_mapped_root,booth_mult320_7nm_mapped_shared,booth_mult384_7nm_mapped_root,booth_mult384_7nm_mapped_shared,booth_mult448_7nm_mapped_root,booth_mult448_7nm_mapped_shared,booth_mult512_7nm_mapped_root,booth_mult512_7nm_mapped_shared,booth_mult576_7nm_mapped_root,booth_mult576_7nm_mapped_shared,booth_mult640_7nm_mapped_root,booth_mult640_7nm_mapped_shared,booth_mult704_7nm_mapped_shared,booth_mult768_7nm_mapped_root,booth_mult768_7nm_mapped_shared,booth_mult24_7nm_mapped_root,booth_mult24_7nm_mapped_shared,mult8_7nm_mapped_root,mult8_7nm_mapped_shared,mult64_7nm_mapped_root,mult64_7nm_mapped_shared,mult128_7nm_mapped_root,mult128_7nm_mapped_shared,mult192_7nm_mapped_root,mult192_7nm_mapped_shared,mult256_7nm_mapped_root,mult256_7nm_mapped_shared,mult320_7nm_mapped_root,mult320_7nm_mapped_shared,mult384_7nm_mapped_root,mult384_7nm_mapped_shared,mult448_7nm_mapped_root,mult448_7nm_mapped_shared,mult512_7nm_mapped_root,mult512_7nm_mapped_shared,mult576_7nm_mapped_root,mult576_7nm_mapped_shared,mult640_7nm_mapped_root,mult640_7nm_mapped_shared,mult704_7nm_mapped_root,mult704_7nm_mapped_shared,mult768_7nm_mapped_root,mult768_7nm_mapped_shared,mult12_7nm_mapped_root,mult12_7nm_mapped_shared,mult16_7nm_mapped_root,mult16_7nm_mapped_shared,mult20_7nm_mapped_root,mult20_7nm_mapped_shared,mult24_7nm_mapped_root,mult24_7nm_mapped_shared,mult2_mapped_shared,mult2_mapped_root,mult4_mapped_shared,mult4_mapped_root,mult6_mapped_shared,mult6_mapped_root,mult8_mapped_shared,mult8_mapped_root,mult10_mapped_shared,mult10_mapped_root,mult12_mapped_shared,mult12_mapped_root,mult14_mapped_shared,mult14_mapped_root,mult16_mapped_shared,mult16_mapped_root,mult64_mapped_shared,mult64_mapped_root,mult128_mapped_shared,mult128_mapped_root,mult192_mapped_shared,mult192_mapped_root,mult256_mapped_shared,mult256_mapped_root,mult320_mapped_shared,mult320_mapped_root,mult384_mapped_shared,mult384_mapped_root,mult448_mapped_shared,mult448_mapped_root,mult512_mapped_shared,mult512_mapped_root,mult576_mapped_shared,mult576_mapped_root,mult640_mapped_shared,mult640_mapped_root,mult704_mapped_shared,mult704_mapped_root,mult768_mapped_shared,mult768_mapped_root,mult2_7nm_mapped_shared,mult2_7nm_mapped_root,mult4_7nm_mapped_shared,mult4_7nm_mapped_root,mult6_7nm_mapped_shared,mult6_7nm_mapped_root,mult10_7nm_mapped_shared,mult10_7nm_mapped_root,mult14_7nm_mapped_shared,mult14_7nm_mapped_root,mult2_fpga_4lut_shared,mult2_fpga_4lut_root,mult4_fpga_4lut_shared,mult4_fpga_4lut_root,mult6_fpga_4lut_shared,mult6_fpga_4lut_root,mult8_fpga_4lut_shared,mult8_fpga_4lut_root,mult10_fpga_4lut_shared,mult10_fpga_4lut_root,mult12_fpga_4lut_shared,mult12_fpga_4lut_root,mult14_fpga_4lut_shared,mult14_fpga_4lut_root,mult16_fpga_4lut_shared,mult16_fpga_4lut_root,mult64_fpga_4lut_shared,mult64_fpga_4lut_root,mult128_fpga_4lut_shared,mult128_fpga_4lut_root,mult192_fpga_4lut_shared,mult192_fpga_4lut_root,mult256_fpga_4lut_shared,mult256_fpga_4lut_root,mult320_fpga_4lut_shared,mult320_fpga_4lut_root,mult384_fpga_4lut_shared,mult384_fpga_4lut_root,mult448_fpga_4lut_shared,mult448_fpga_4lut_root,mult512_fpga_4lut_shared,mult512_fpga_4lut_root,mult576_fpga_4lut_shared,mult576_fpga_4lut_root,mult640_fpga_4lut_shared,mult640_fpga_4lut_root,mult704_fpga_4lut_shared,mult704_fpga_4lut_root,mult768_fpga_4lut_shared,mult768_fpga_4lut_root,mult16
add_inverse_edge,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
additional edge files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additional node files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
binary,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
download_name,booth_mult10_7nm_mapped_root,boot_mult10,boot_mult10_root,booth_mult10_root,booth_mult12_7nm_mapped_root,booth_mult704_7nm_mapped_root,booth_mult8_root,booth_mult8_shared,booth_mult32_root,booth_mult32_shared,booth_mult64_root,booth_mult64_shared,booth_mult8_7nm_mapped_root,booth_mult8_7nm_mapped_shared,booth_mult64_7nm_mapped_root,booth_mult64_7nm_mapped_shared,booth_mult64_mapped_root,booth_mult64_mapped_shared,booth_mult128_mapped_root,booth_mult128_mapped_shared,booth_mult768_mapped_root,booth_mult768_mapped_shared,booth_mult192_mapped_root,booth_mult192_mapped_shared,booth_mult256_mapped_root,booth_mult256_mapped_shared,booth_mult320_mapped_root,booth_mult320_mapped_shared,booth_mult384_mapped_root,booth_mult384_mapped_shared,booth_mult448_mapped_root,booth_mult448_mapped_shared,booth_mult512_mapped_root,booth_mult512_mapped_shared,booth_mult576_mapped_root,booth_mult576_mapped_shared,booth_mult640_mapped_root,booth_mult640_mapped_shared,booth_mult704_mapped_root,booth_mult704_mapped_shared,booth_mult32_mapped_root,booth_mult32_mapped_shared,booth_mult24_mapped_root,booth_mult24_mapped_shared,booth_mult8_mapped_root,booth_mult8_mapped_shared,booth_mult28_mapped_root,booth_mult28_mapped_shared,booth_mult128_7nm_mapped_root,booth_mult128_7nm_mapped_shared,booth_mult192_7nm_mapped_root,booth_mult192_7nm_mapped_shared,booth_mult256_7nm_mapped_root,booth_mult256_7nm_mapped_shared,booth_mult320_7nm_mapped_root,booth_mult320_7nm_mapped_shared,booth_mult384_7nm_mapped_root,booth_mult384_7nm_mapped_shared,booth_mult448_7nm_mapped_root,booth_mult448_7nm_mapped_shared,booth_mult512_7nm_mapped_root,booth_mult512_7nm_mapped_shared,booth_mult576_7nm_mapped_root,booth_mult576_7nm_mapped_shared,booth_mult640_7nm_mapped_root,booth_mult640_7nm_mapped_shared,booth_mult704_7nm_mapped_shared,booth_mult768_7nm_mapped_root,booth_mult768_7nm_mapped_shared,booth_mult24_7nm_mapped_root,booth_mult24_7nm_mapped_shared,mult8_7nm_mapped_root,mult8_7nm_mapped_shared,mult64_7nm_mapped_root,mult64_7nm_mapped_shared,mult128_7nm_mapped_root,mult128_7nm_mapped_shared,mult192_7nm_mapped_root,mult192_7nm_mapped_shared,mult256_7nm_mapped_root,mult256_7nm_mapped_shared,mult320_7nm_mapped_root,mult320_7nm_mapped_shared,mult384_7nm_mapped_root,mult384_7nm_mapped_shared,mult448_7nm_mapped_root,mult448_7nm_mapped_shared,mult512_7nm_mapped_root,mult512_7nm_mapped_shared,mult576_7nm_mapped_root,mult576_7nm_mapped_shared,mult640_7nm_mapped_root,mult640_7nm_mapped_shared,mult704_7nm_mapped_root,mult704_7nm_mapped_shared,mult768_7nm_mapped_root,mult768_7nm_mapped_shared,mult12_7nm_mapped_root,mult12_7nm_mapped_shared,mult16_7nm_mapped_root,mult16_7nm_mapped_shared,mult20_7nm_mapped_root,mult20_7nm_mapped_shared,mult24_7nm_mapped_root,mult24_7nm_mapped_shared,mult2_mapped_shared,mult2_mapped_root,mult4_mapped_shared,mult4_mapped_root,mult6_mapped_shared,mult6_mapped_root,mult8_mapped_shared,mult8_mapped_root,mult10_mapped_shared,mult10_mapped_root,mult12_mapped_shared,mult12_mapped_root,mult14_mapped_shared,mult14_mapped_root,mult16_mapped_shared,mult16_mapped_root,mult64_mapped_shared,mult64_mapped_root,mult128_mapped_shared,mult128_mapped_root,mult192_mapped_shared,mult192_mapped_root,mult256_mapped_shared,mult256_mapped_root,mult320_mapped_shared,mult320_mapped_root,mult384_mapped_shared,mult384_mapped_root,mult448_mapped_shared,mult448_mapped_root,mult512_mapped_shared,mult512_mapped_root,mult576_mapped_shared,mult576_mapped_root,mult640_mapped_shared,mult640_mapped_root,mult704_mapped_shared,mult704_mapped_root,mult768_mapped_shared,mult768_mapped_root,mult2_7nm_mapped_shared,mult2_7nm_mapped_root,mult4_7nm_mapped_shared,mult4_7nm_mapped_root,mult6_7nm_mapped_shared,mult6_7nm_mapped_root,mult10_7nm_mapped_shared,mult10_7nm_mapped_root,mult14_7nm_mapped_shared,mult14_7nm_mapped_root,mult2_fpga_4lut_shared,mult2_fpga_4lut_root,mult4_fpga_4lut_shared,mult4_fpga_4lut_root,mult6_fpga_4lut_shared,mult6_fpga_4lut_root,mult8_fpga_4lut_shared,mult8_fpga_4lut_root,mult10_fpga_4lut_shared,mult10_fpga_4lut_root,mult12_fpga_4lut_shared,mult12_fpga_4lut_root,mult14_fpga_4lut_shared,mult14_fpga_4lut_root,mult16_fpga_4lut_shared,mult16_fpga_4lut_root,mult64_fpga_4lut_shared,mult64_fpga_4lut_root,mult128_fpga_4lut_shared,mult128_fpga_4lut_root,mult192_fpga_4lut_shared,mult192_fpga_4lut_root,mult256_fpga_4lut_shared,mult256_fpga_4lut_root,mult320_fpga_4lut_shared,mult320_fpga_4lut_root,mult384_fpga_4lut_shared,mult384_fpga_4lut_root,mult448_fpga_4lut_shared,mult448_fpga_4lut_root,mult512_fpga_4lut_shared,mult512_fpga_4lut_root,mult576_fpga_4lut_shared,mult576_fpga_4lut_root,mult640_fpga_4lut_shared,mult640_fpga_4lut_root,mult704_fpga_4lut_shared,mult704_fpga_4lut_root,mult768_fpga_4lut_shared,mult768_fpga_4lut_root,mult16
eval metric,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
has_edge_attr,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
has_node_attr,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is hetero,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
