base_name,runtime_seconds
64_64_U1_4to2_BK_Multgen_dc2,.026202157
64_64_U1_4to2_HCA_Multgen_dc2,.025732657
64_64_U1_4to2_JCA_Multgen_dc2,.026004883
64_64_U1_4to2_KS_Multgen_dc2,.025767648
64_64_U1_4to2_LF_Multgen_dc2,.026544033
64_64_U1_4to2_RC_Multgen_dc2,.025931641
64_64_U1_DT_BK_Multgen_dc2,.025629635
64_64_U1_DT_HCA_Multgen_dc2,.025475462
64_64_U1_DT_JCA_Multgen_dc2,.025149276
64_64_U1_DT_KS_Multgen_dc2,.025326829
64_64_U1_DT_LF_Multgen_dc2,.027034412
64_64_U1_DT_RC_Multgen_dc2,.025776368
64_64_U1_WT_BK_Multgen_dc2,.026395409
64_64_U1_WT_HCA_Multgen_dc2,.025089486
64_64_U1_WT_JCA_Multgen_dc2,.031422795
64_64_U1_WT_KS_Multgen_dc2,.026048533
64_64_U1_WT_LF_Multgen_dc2,.027713355
64_64_U1_WT_RC_Multgen_dc2,.025409051
64_64_U2_4to2_BK_Multgen_dc2,.025590335
64_64_U2_4to2_HCA_Multgen_dc2,.025390341
64_64_U2_4to2_JCA_Multgen_dc2,.026999931
64_64_U2_4to2_KS_Multgen_dc2,.025303450
64_64_U2_4to2_LF_Multgen_dc2,.030415326
64_64_U2_4to2_RC_Multgen_dc2,.025398591
64_64_U2_DT_BK_Multgen_dc2,.026895929
64_64_U2_DT_HCA_Multgen_dc2,.025043984
64_64_U2_DT_JCA_Multgen_dc2,.027777626
64_64_U2_DT_KS_Multgen_dc2,.024923672
64_64_U2_DT_LF_Multgen_dc2,.027769656
64_64_U2_DT_RC_Multgen_dc2,.025192787
64_64_U2_WT_BK_Multgen_dc2,.028714984
64_64_U2_WT_HCA_Multgen_dc2,.025039515
64_64_U2_WT_JCA_Multgen_dc2,.027734075
64_64_U2_WT_KS_Multgen_dc2,.025652586
64_64_U2_WT_LF_Multgen_dc2,.025603225
64_64_U2_WT_RC_Multgen_dc2,.025075865
64_64_U_SP_AR_BK_GenMul_dc2,.025291429
64_64_U_SP_AR_CK_GenMul_dc2,.025045184
64_64_U_SP_AR_CL_GenMul_dc2,.025106965
64_64_U_SP_AR_KS_GenMul_dc2,.025099255
64_64_U_SP_AR_LF_GenMul_dc2,.025454562
64_64_U_SP_AR_RC_GenMul_dc2,.025842239
64_64_U_SP_AR_SE_GenMul_dc2,.025327950
64_64_U_SP_CWT_BK_GenMul_dc2,.024578156
64_64_U_SP_CWT_CK_GenMul_dc2,.029440078
64_64_U_SP_CWT_CL_GenMul_dc2,.026240567
64_64_U_SP_CWT_KS_GenMul_dc2,.030924276
64_64_U_SP_CWT_LF_GenMul_dc2,.025276849
64_64_U_SP_CWT_RC_GenMul_dc2,.030436216
64_64_U_SP_CWT_SE_GenMul_dc2,.024985393
64_64_U_SP_DT_BK_GenMul_dc2,.031212462
64_64_U_SP_DT_CK_GenMul_dc2,.025168266
64_64_U_SP_DT_CL_GenMul_dc2,.030948887
64_64_U_SP_DT_KS_GenMul_dc2,.025028834
64_64_U_SP_DT_LF_GenMul_dc2,.030471117
64_64_U_SP_DT_RC_GenMul_dc2,.025299919
64_64_U_SP_DT_SE_GenMul_dc2,.030917216
64_64_U_SP_WT_BK_GenMul_dc2,.025235238
64_64_U_SP_WT_CK_GenMul_dc2,.030490938
64_64_U_SP_WT_CL_GenMul_dc2,.025242288
64_64_U_SP_WT_KS_GenMul_dc2,.030500217
64_64_U_SP_WT_LF_GenMul_dc2,.025153636
64_64_U_SP_WT_RC_GenMul_dc2,.028548201
64_64_U_SP_WT_SE_GenMul_dc2,.025148486
128_128_U1_4to2_BK_Multgen_dc2,.030583439
128_128_U1_4to2_HCA_Multgen_dc2,.025364150
128_128_U1_4to2_JCA_Multgen_dc2,.030382665
128_128_U1_4to2_KS_Multgen_dc2,.025103406
128_128_U1_4to2_LF_Multgen_dc2,.030020549
128_128_U1_4to2_RC_Multgen_dc2,.025126906
128_128_U1_DT_BK_Multgen_dc2,.026812888
128_128_U1_DT_HCA_Multgen_dc2,.025124826
128_128_U1_DT_JCA_Multgen_dc2,.031395354
128_128_U1_DT_KS_Multgen_dc2,.026196697
128_128_U1_DT_LF_Multgen_dc2,.025965172
128_128_U1_DT_RC_Multgen_dc2,.025325930
128_128_U1_WT_BK_Multgen_dc2,.024914681
128_128_U1_WT_HCA_Multgen_dc2,.025056485
128_128_U1_WT_JCA_Multgen_dc2,.025065435
128_128_U1_WT_KS_Multgen_dc2,.026259088
128_128_U1_WT_LF_Multgen_dc2,.025162917
128_128_U1_WT_RC_Multgen_dc2,.025362470
128_128_U2_4to2_BK_Multgen_dc2,.025711027
128_128_U2_4to2_HCA_Multgen_dc2,.025154187
128_128_U2_4to2_JCA_Multgen_dc2,.025148467
128_128_U2_4to2_KS_Multgen_dc2,.025045845
128_128_U2_4to2_LF_Multgen_dc2,.030380645
128_128_U2_4to2_RC_Multgen_dc2,.024936372
128_128_U2_DT_BK_Multgen_dc2,.028424149
128_128_U2_DT_HCA_Multgen_dc2,.025362320
128_128_U2_DT_JCA_Multgen_dc2,.028172153
128_128_U2_DT_KS_Multgen_dc2,.026703757
128_128_U2_DT_LF_Multgen_dc2,.031755381
128_128_U2_DT_RC_Multgen_dc2,.025475032
128_128_U2_WT_BK_Multgen_dc2,.031362714
128_128_U2_WT_HCA_Multgen_dc2,.025580275
128_128_U2_WT_JCA_Multgen_dc2,.031958485
128_128_U2_WT_KS_Multgen_dc2,.026369800
128_128_U2_WT_LF_Multgen_dc2,.029836156
128_128_U2_WT_RC_Multgen_dc2,.025514633
128_128_U_SP_AR_BK_GenMul_dc2,.027379438
128_128_U_SP_AR_CK_GenMul_dc2,.025528633
128_128_U_SP_AR_CL_GenMul_dc2,.029372696
128_128_U_SP_AR_KS_GenMul_dc2,.025468682
128_128_U_SP_AR_LF_GenMul_dc2,.025854590
128_128_U_SP_AR_RC_GenMul_dc2,.025494502
128_128_U_SP_AR_SE_GenMul_dc2,.029745053
128_128_U_SP_CWT_BK_GenMul_dc2,.025150097
128_128_U_SP_CWT_CK_GenMul_dc2,.031300043
128_128_U_SP_CWT_CL_GenMul_dc2,.025625465
128_128_U_SP_CWT_KS_GenMul_dc2,.027074783
128_128_U_SP_CWT_LF_GenMul_dc2,.025163817
128_128_U_SP_CWT_RC_GenMul_dc2,.028574232
128_128_U_SP_CWT_SE_GenMul_dc2,.024950612
128_128_U_SP_DT_BK_GenMul_dc2,.027078873
128_128_U_SP_DT_CK_GenMul_dc2,.025003213
128_128_U_SP_DT_CL_GenMul_dc2,.028160173
128_128_U_SP_DT_KS_GenMul_dc2,.025419102
128_128_U_SP_DT_LF_GenMul_dc2,.025399671
128_128_U_SP_DT_RC_GenMul_dc2,.025931081
128_128_U_SP_DT_SE_GenMul_dc2,.025258468
128_128_U_SP_WT_BK_GenMul_dc2,.025060665
128_128_U_SP_WT_CK_GenMul_dc2,.025251548
128_128_U_SP_WT_CL_GenMul_dc2,.025412601
128_128_U_SP_WT_KS_GenMul_dc2,.025322560
128_128_U_SP_WT_LF_GenMul_dc2,.025520334
128_128_U_SP_WT_RC_GenMul_dc2,.025985742
128_128_U_SP_WT_SE_GenMul_dc2,.024799430
256_256_U1_4to2_BK_Multgen_dc2,.025319000
256_256_U1_4to2_HCA_Multgen_dc2,.025880540
256_256_U1_4to2_JCA_Multgen_dc2,.025346200
