File Name,Circuit Status,Time Overall,Memory Usage
64_64_U_SP_DT_RC_GenMul_dc2,correct,0.48,7384
64_64_U1_DT_RC_Multgen_dc2,correct,0.76,9500
64_64_U2_DT_RC_Multgen_dc2,correct,22.83,33724
64_64_U_SP_CWT_CL_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_WT_BK_GenMul_dc2,UNKNOWN,,MO
64_64_U2_DT_KS_Multgen_dc2,UNKNOWN,,MO
64_64_U1_DT_HCA_Multgen_dc2,UNKNOWN,,MO
64_64_U_SP_AR_CK_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_DT_KS_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_AR_LF_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_CWT_CK_GenMul_dc2,UNKNOWN,,MO
64_64_U2_WT_RC_Multgen_dc2,UNKNOWN,,MO
64_64_U1_WT_RC_Multgen_dc2,UNKNOWN,,MO
64_64_U_SP_WT_LF_GenMul_dc2,UNKNOWN,,MO
64_64_U1_4to2_KS_Multgen_dc2,UNKNOWN,,MO
64_64_U2_4to2_RC_Multgen_dc2,UNKNOWN,,MO
64_64_U2_WT_KS_Multgen_dc2,UNKNOWN,,MO
64_64_U1_4to2_HCA_Multgen_dc2,UNKNOWN,,MO
64_64_U1_4to2_RC_Multgen_dc2,UNKNOWN,,MO
64_64_U_SP_CWT_SE_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_DT_SE_GenMul_dc2,UNKNOWN,,MO
64_64_U1_4to2_JCA_Multgen_dc2,UNKNOWN,,MO
64_64_U1_4to2_LF_Multgen_dc2,UNKNOWN,,MO
64_64_U_SP_AR_KS_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_WT_CK_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_WT_KS_GenMul_dc2,UNKNOWN,,MO
64_64_U2_DT_LF_Multgen_dc2,UNKNOWN,,MO
64_64_U1_DT_KS_Multgen_dc2,UNKNOWN,,MO
64_64_U2_4to2_JCA_Multgen_dc2,UNKNOWN,,MO
64_64_U_SP_WT_SE_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_CWT_KS_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_AR_CL_GenMul_dc2,UNKNOWN,,MO
64_64_U1_WT_JCA_Multgen_dc2,UNKNOWN,,MO
64_64_U_SP_DT_BK_GenMul_dc2,UNKNOWN,,MO
64_64_U1_DT_LF_Multgen_dc2,UNKNOWN,,MO
64_64_U_SP_WT_RC_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_DT_CK_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_CWT_BK_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_CWT_RC_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_DT_LF_GenMul_dc2,UNKNOWN,,MO
64_64_U2_WT_BK_Multgen_dc2,UNKNOWN,,MO
64_64_U1_WT_BK_Multgen_dc2,UNKNOWN,,MO
64_64_U_SP_DT_CL_GenMul_dc2,UNKNOWN,,MO
64_64_U1_DT_JCA_Multgen_dc2,UNKNOWN,,MO
64_64_U2_DT_HCA_Multgen_dc2,UNKNOWN,,MO
64_64_U1_DT_BK_Multgen_dc2,UNKNOWN,,MO
64_64_U2_WT_LF_Multgen_dc2,UNKNOWN,,MO
64_64_U2_4to2_LF_Multgen_dc2,UNKNOWN,,MO
64_64_U1_WT_LF_Multgen_dc2,UNKNOWN,,MO
64_64_U2_WT_JCA_Multgen_dc2,UNKNOWN,,MO
64_64_U_SP_WT_CL_GenMul_dc2,UNKNOWN,,MO
64_64_U_SP_AR_BK_GenMul_dc2,UNKNOWN,,MO
64_64_U2_4to2_KS_Multgen_dc2,UNKNOWN,,MO
64_64_U2_4to2_BK_Multgen_dc2,UNKNOWN,,MO
64_64_U_SP_AR_SE_GenMul_dc2,UNKNOWN,,MO
64_64_U2_DT_BK_Multgen_dc2,UNKNOWN,,MO
64_64_U1_WT_HCA_Multgen_dc2,UNKNOWN,,MO
64_64_U1_WT_KS_Multgen_dc2,UNKNOWN,,MO
64_64_U2_DT_JCA_Multgen_dc2,UNKNOWN,,MO
64_64_U2_4to2_HCA_Multgen_dc2,UNKNOWN,,MO
64_64_U_SP_CWT_LF_GenMul_dc2,UNKNOWN,,MO
64_64_U1_4to2_BK_Multgen_dc2,UNKNOWN,,MO
64_64_U_SP_AR_RC_GenMul_dc2,UNKNOWN,,MO
64_64_U2_WT_HCA_Multgen_dc2,UNKNOWN,,MO
