File Name,Circuit Status,Time Overall,Memory Usage
64_64_U_SP_AR_SE_GenMul_resyn3,correct,0.21,7420
64_64_U_SP_AR_RC_GenMul_resyn3,correct,0.22,7400
64_64_U1_DT_RC_Multgen_resyn3,correct,0.25,9772
64_64_U_SP_DT_RC_GenMul_resyn3,correct,0.25,6728
64_64_U1_4to2_RC_Multgen_resyn3,correct,0.28,8684
64_64_U_SP_DT_SE_GenMul_resyn3,correct,0.35,6080
64_64_U2_4to2_RC_Multgen_resyn3,correct,0.93,4556
64_64_U2_DT_RC_Multgen_resyn3,correct,1.49,48292
64_64_U_SP_WT_RC_GenMul_resyn3,UNKNOWN,8398240,8398240
64_64_U1_4to2_LF_Multgen_resyn3,UNKNOWN,,MO
64_64_U2_DT_JCA_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_AR_LF_GenMul_resyn3,UNKNOWN,,MO
64_64_U1_WT_KS_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_WT_KS_GenMul_resyn3,UNKNOWN,,MO
64_64_U_SP_AR_BK_GenMul_resyn3,UNKNOWN,,MO
64_64_U2_4to2_KS_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_AR_KS_GenMul_resyn3,UNKNOWN,,MO
64_64_U2_DT_LF_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_WT_SE_GenMul_resyn3,UNKNOWN,,MO
64_64_U_SP_CWT_BK_GenMul_resyn3,UNKNOWN,,MO
64_64_U_SP_DT_LF_GenMul_resyn3,UNKNOWN,,MO
64_64_U1_DT_BK_Multgen_resyn3,UNKNOWN,,MO
64_64_U2_WT_BK_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_CWT_RC_GenMul_resyn3,UNKNOWN,,MO
64_64_U2_WT_JCA_Multgen_resyn3,UNKNOWN,,MO
64_64_U1_WT_BK_Multgen_resyn3,UNKNOWN,,MO
64_64_U1_DT_JCA_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_CWT_KS_GenMul_resyn3,UNKNOWN,,MO
64_64_U1_4to2_HCA_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_WT_CK_GenMul_resyn3,UNKNOWN,,MO
64_64_U_SP_WT_CL_GenMul_resyn3,UNKNOWN,,MO
64_64_U2_DT_HCA_Multgen_resyn3,UNKNOWN,,MO
64_64_U1_DT_LF_Multgen_resyn3,UNKNOWN,,MO
64_64_U1_WT_HCA_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_CWT_LF_GenMul_resyn3,UNKNOWN,,MO
64_64_U_SP_DT_BK_GenMul_resyn3,UNKNOWN,,MO
64_64_U2_4to2_LF_Multgen_resyn3,UNKNOWN,,MO
64_64_U2_WT_HCA_Multgen_resyn3,UNKNOWN,,MO
64_64_U2_4to2_JCA_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_DT_KS_GenMul_resyn3,UNKNOWN,,MO
64_64_U2_WT_RC_Multgen_resyn3,UNKNOWN,,MO
64_64_U1_DT_KS_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_CWT_CL_GenMul_resyn3,UNKNOWN,,MO
64_64_U_SP_WT_LF_GenMul_resyn3,UNKNOWN,,MO
64_64_U_SP_DT_CK_GenMul_resyn3,UNKNOWN,,MO
64_64_U_SP_AR_CL_GenMul_resyn3,UNKNOWN,,MO
64_64_U_SP_DT_CL_GenMul_resyn3,UNKNOWN,,MO
64_64_U1_4to2_JCA_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_AR_CK_GenMul_resyn3,UNKNOWN,,MO
64_64_U2_DT_KS_Multgen_resyn3,UNKNOWN,,MO
64_64_U2_WT_LF_Multgen_resyn3,UNKNOWN,,MO
64_64_U1_WT_LF_Multgen_resyn3,UNKNOWN,,MO
64_64_U1_WT_RC_Multgen_resyn3,UNKNOWN,,MO
64_64_U1_DT_HCA_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_CWT_CK_GenMul_resyn3,UNKNOWN,,MO
64_64_U2_WT_KS_Multgen_resyn3,UNKNOWN,,MO
64_64_U1_4to2_BK_Multgen_resyn3,UNKNOWN,,MO
64_64_U1_WT_JCA_Multgen_resyn3,UNKNOWN,,MO
64_64_U2_4to2_BK_Multgen_resyn3,UNKNOWN,,MO
64_64_U2_DT_BK_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_WT_BK_GenMul_resyn3,UNKNOWN,,MO
64_64_U2_4to2_HCA_Multgen_resyn3,UNKNOWN,,MO
64_64_U1_4to2_KS_Multgen_resyn3,UNKNOWN,,MO
64_64_U_SP_CWT_SE_GenMul_resyn3,UNKNOWN,,MO
