File Name,Circuit Status,Time Overall,Memory Usage
256_256_U_SP_AR_RC_GenMul_dc2_output,CORRECT,41.389,3704648
256_256_U_SP_AR_SE_GenMul_dc2_output,CORRECT,43.0453,3703676
256_256_U_SP_DT_RC_GenMul_dc2_output,CORRECT,43.0695,3691044
256_256_U1_DT_RC_Multgen_dc2_output,CORRECT,43.5541,3805268
256_256_U_SP_DT_SE_GenMul_dc2_output,CORRECT,59.6279,3853440
256_256_U_SP_AR_BK_GenMul_dc2_output,CORRECT,60.0645,3773216
256_256_U_SP_AR_CK_GenMul_dc2_output,CORRECT,114.714,3734124
256_256_U_SP_WT_SE_GenMul_dc2_output,CORRECT,137.009,3853304
256_256_U2_DT_RC_Multgen_dc2_output,CORRECT,156.476,4585200
256_256_U_SP_DT_BK_GenMul_dc2_output,CORRECT,162.297,3846572
256_256_U_SP_AR_LF_GenMul_dc2_output,CORRECT,238.916,3752256
256_256_U1_DT_BK_Multgen_dc2_output,CORRECT,288.242,3907676
256_256_U2_DT_BK_Multgen_dc2_output,CORRECT,343.074,4734820
256_256_U1_4to2_BK_Multgen_dc2_output,CORRECT,571.759,3591828
256_256_U1_WT_BK_Multgen_dc2_output,CORRECT,648.493,3708864
256_256_U_SP_CWT_SE_GenMul_dc2_output,CORRECT,692.561,3959404
256_256_U_SP_WT_CK_GenMul_dc2_output,CORRECT,795.229,3793200
256_256_U_SP_WT_BK_GenMul_dc2_output,CORRECT,928.065,4206372
256_256_U_SP_CWT_BK_GenMul_dc2_output,CORRECT,1038.21,4282496
256_256_U_SP_CWT_CK_GenMul_dc2_output,CORRECT,1210.76,4708056
256_256_U2_WT_BK_Multgen_dc2_output,CORRECT,2260.17,5150684
256_256_U1_DT_HCA_Multgen_dc2_output,UNKNOWN,,
256_256_U1_4to2_HCA_Multgen_dc2_output,UNKNOWN,,
256_256_U1_DT_LF_Multgen_dc2_output,UNKNOWN,,
256_256_U1_4to2_LF_Multgen_dc2_output,UNKNOWN,,
256_256_U1_4to2_RC_Multgen_dc2_output,UNKNOWN,,
256_256_U1_DT_KS_Multgen_dc2_output,UNKNOWN,,
256_256_U1_4to2_JCA_Multgen_dc2_output,UNKNOWN,,
256_256_U1_DT_JCA_Multgen_dc2_output,UNKNOWN,,
256_256_U1_WT_JCA_Multgen_dc2_output,UNKNOWN,,
256_256_U1_WT_RC_Multgen_dc2_output,UNKNOWN,,
256_256_U2_4to2_JCA_Multgen_dc2_output,UNKNOWN,,
256_256_U1_4to2_KS_Multgen_dc2_output,UNKNOWN,,
256_256_U2_4to2_HCA_Multgen_dc2_output,UNKNOWN,,
256_256_U2_4to2_KS_Multgen_dc2_output,UNKNOWN,,
256_256_U1_WT_KS_Multgen_dc2_output,UNKNOWN,,
256_256_U2_4to2_BK_Multgen_dc2_output,UNKNOWN,,
256_256_U1_WT_HCA_Multgen_dc2_output,UNKNOWN,,
256_256_U2_4to2_LF_Multgen_dc2_output,UNKNOWN,,
256_256_U1_WT_LF_Multgen_dc2_output,UNKNOWN,,
256_256_U2_DT_HCA_Multgen_dc2_output,UNKNOWN,,
256_256_U2_4to2_RC_Multgen_dc2_output,UNKNOWN,,
256_256_U2_DT_JCA_Multgen_dc2_output,UNKNOWN,,
256_256_U2_DT_LF_Multgen_dc2_output,UNKNOWN,,
256_256_U2_WT_HCA_Multgen_dc2_output,UNKNOWN,,
256_256_U2_DT_KS_Multgen_dc2_output,UNKNOWN,,
256_256_U2_WT_JCA_Multgen_dc2_output,UNKNOWN,,
256_256_U2_WT_KS_Multgen_dc2_output,UNKNOWN,,
256_256_U2_WT_LF_Multgen_dc2_output,UNKNOWN,,
256_256_U2_WT_RC_Multgen_dc2_output,UNKNOWN,,
256_256_U_SP_AR_CL_GenMul_dc2_output,UNKNOWN,,
256_256_U_SP_AR_KS_GenMul_dc2_output,UNKNOWN,,
256_256_U_SP_CWT_CL_GenMul_dc2_output,UNKNOWN,,
256_256_U_SP_CWT_KS_GenMul_dc2_output,UNKNOWN,,
256_256_U_SP_CWT_LF_GenMul_dc2_output,UNKNOWN,,
256_256_U_SP_CWT_RC_GenMul_dc2_output,UNKNOWN,,
256_256_U_SP_DT_CK_GenMul_dc2_output,UNKNOWN,,
256_256_U_SP_DT_CL_GenMul_dc2_output,UNKNOWN,,
256_256_U_SP_DT_KS_GenMul_dc2_output,UNKNOWN,,
256_256_U_SP_DT_LF_GenMul_dc2_output,UNKNOWN,,
256_256_U_SP_WT_CL_GenMul_dc2_output,UNKNOWN,,
256_256_U_SP_WT_KS_GenMul_dc2_output,UNKNOWN,,
256_256_U_SP_WT_LF_GenMul_dc2_output,UNKNOWN,,
256_256_U_SP_WT_RC_GenMul_dc2_output,UNKNOWN,,
