File Name,Circuit Status,Time Overall,Memory Usage
64_64_U_SP_AR_BK_GenMul_dc2_output,CORRECT,1.10946,147876
64_64_U_SP_AR_CL_GenMul_dc2_output,CORRECT,1.10951,159068
64_64_U_SP_AR_RC_GenMul_dc2_output,CORRECT,1.12848,148444
64_64_U_SP_AR_SE_GenMul_dc2_output,CORRECT,1.15853,147048
64_64_U_SP_DT_RC_GenMul_dc2_output,CORRECT,1.19455,147628
64_64_U_SP_DT_SE_GenMul_dc2_output,CORRECT,1.1966,158468
64_64_U1_DT_RC_Multgen_dc2_output,CORRECT,1.20267,160300
64_64_U_SP_WT_SE_GenMul_dc2_output,CORRECT,1.42317,167620
64_64_U_SP_DT_BK_GenMul_dc2_output,CORRECT,1.50853,147384
64_64_U_SP_AR_LF_GenMul_dc2_output,CORRECT,1.86113,146944
64_64_U1_4to2_BK_Multgen_dc2_output,CORRECT,2.07283,183012
64_64_U1_DT_BK_Multgen_dc2_output,CORRECT,2.09936,162452
64_64_U1_WT_RC_Multgen_dc2_output,CORRECT,2.13398,166704
64_64_U_SP_AR_CK_GenMul_dc2_output,CORRECT,2.25016,148088
64_64_U1_DT_LF_Multgen_dc2_output,CORRECT,2.43051,165788
64_64_U_SP_WT_RC_GenMul_dc2_output,CORRECT,2.43078,167056
64_64_U1_DT_JCA_Multgen_dc2_output,CORRECT,2.48567,166204
64_64_U1_4to2_RC_Multgen_dc2_output,CORRECT,2.60264,182008
64_64_U2_DT_RC_Multgen_dc2_output,CORRECT,2.90964,184072
64_64_U2_DT_BK_Multgen_dc2_output,CORRECT,2.9358,184196
64_64_U_SP_WT_CK_GenMul_dc2_output,CORRECT,3.49602,171200
64_64_U1_WT_JCA_Multgen_dc2_output,CORRECT,3.51999,170088
64_64_U1_WT_BK_Multgen_dc2_output,CORRECT,3.64074,168480
64_64_U1_WT_LF_Multgen_dc2_output,CORRECT,3.7691,169092
64_64_U2_WT_RC_Multgen_dc2_output,CORRECT,4.24525,189812
64_64_U_SP_WT_LF_GenMul_dc2_output,CORRECT,4.61028,169736
64_64_U2_DT_LF_Multgen_dc2_output,CORRECT,5.31998,218132
64_64_U2_DT_JCA_Multgen_dc2_output,CORRECT,5.32423,218164
64_64_U_SP_CWT_SE_GenMul_dc2_output,CORRECT,5.79901,214992
64_64_U_SP_WT_BK_GenMul_dc2_output,CORRECT,5.83486,225704
64_64_U_SP_DT_LF_GenMul_dc2_output,CORRECT,5.94335,205744
64_64_U_SP_DT_CK_GenMul_dc2_output,CORRECT,6.72547,162524
64_64_U_SP_CWT_LF_GenMul_dc2_output,CORRECT,7.48294,335248
64_64_U2_WT_BK_Multgen_dc2_output,CORRECT,9.06015,199768
64_64_U2_4to2_RC_Multgen_dc2_output,CORRECT,9.07528,190540
64_64_U2_4to2_JCA_Multgen_dc2_output,CORRECT,10.2908,288812
64_64_U2_4to2_LF_Multgen_dc2_output,CORRECT,10.2961,289120
64_64_U_SP_CWT_BK_GenMul_dc2_output,CORRECT,10.4476,270324
64_64_U2_4to2_BK_Multgen_dc2_output,CORRECT,15.7604,301660
64_64_U1_4to2_HCA_Multgen_dc2_output,CORRECT,23.748,203216
64_64_U_SP_WT_CL_GenMul_dc2_output,CORRECT,44.7536,185684
64_64_U2_WT_HCA_Multgen_dc2_output,CORRECT,54.735,375180
64_64_U2_4to2_HCA_Multgen_dc2_output,CORRECT,56.3439,390768
64_64_U2_DT_HCA_Multgen_dc2_output,CORRECT,59.6351,257472
64_64_U_SP_DT_CL_GenMul_dc2_output,CORRECT,69.5855,421232
64_64_U1_DT_HCA_Multgen_dc2_output,CORRECT,151.579,359304
64_64_U2_WT_JCA_Multgen_dc2_output,CORRECT,170.349,1198572
64_64_U2_WT_LF_Multgen_dc2_output,CORRECT,173.356,1196692
64_64_U_SP_CWT_RC_GenMul_dc2_output,CORRECT,222.626,1105836
64_64_U1_WT_HCA_Multgen_dc2_output,CORRECT,1129.02,790752
64_64_U2_DT_KS_Multgen_dc2_output,CORRECT,1725.38,745776
64_64_U_SP_DT_KS_GenMul_dc2_output,CORRECT,1876.23,683408
64_64_U1_4to2_LF_Multgen_dc2_output,UNKNOWN,TO,
64_64_U_SP_WT_KS_GenMul_dc2_output,UNKNOWN,TO,
64_64_U1_4to2_JCA_Multgen_dc2_output,UNKNOWN,TO,
64_64_U1_WT_KS_Multgen_dc2_output,UNKNOWN,TO,
64_64_U1_DT_KS_Multgen_dc2_output,UNKNOWN,TO,
64_64_U_SP_CWT_CK_GenMul_dc2_output,UNKNOWN,TO,
64_64_U_SP_AR_KS_GenMul_dc2_output,UNKNOWN,TO,
64_64_U2_WT_KS_Multgen_dc2_output,UNKNOWN,TO,
64_64_U_SP_CWT_KS_GenMul_dc2_output,UNKNOWN,TO,
64_64_U_SP_CWT_CL_GenMul_dc2_output,UNKNOWN,TO,
64_64_U1_4to2_KS_Multgen_dc2_output,UNKNOWN,TO,
64_64_U2_4to2_KS_Multgen_dc2_output,UNKNOWN,TO,
