File Name,Circuit Status,Time Overall,Memory Usage
64_64_U_SP_AR_LF_GenMul_default_mfs_output,CORRECT,1.1999,143564
64_64_U_SP_AR_CL_GenMul_default_mfs_output,CORRECT,1.20191,142988
64_64_U_SP_AR_RC_GenMul_default_mfs_output,CORRECT,1.20767,143052
64_64_U_SP_AR_BK_GenMul_default_mfs_output,CORRECT,1.21544,133220
64_64_U_SP_AR_CK_GenMul_default_mfs_output,CORRECT,1.24136,143560
64_64_U_SP_AR_KS_GenMul_default_mfs_output,CORRECT,1.25763,142996
64_64_U_SP_DT_SE_GenMul_default_mfs_output,CORRECT,1.26247,143072
64_64_U_SP_AR_SE_GenMul_default_mfs_output,CORRECT,1.26864,143084
64_64_U_SP_DT_RC_GenMul_default_mfs_output,CORRECT,1.30388,143904
64_64_U1_DT_RC_Multgen_default_mfs_output,CORRECT,1.33442,143124
64_64_U1_DT_BK_Multgen_default_mfs_output,CORRECT,1.3368,133580
64_64_U1_DT_HCA_Multgen_default_mfs_output,CORRECT,1.3516,143868
64_64_U_SP_DT_LF_GenMul_default_mfs_output,CORRECT,1.58456,145544
64_64_U_SP_DT_BK_GenMul_default_mfs_output,CORRECT,1.66425,144280
64_64_U1_DT_JCA_Multgen_default_mfs_output,CORRECT,1.73038,165268
64_64_U1_DT_LF_Multgen_default_mfs_output,CORRECT,1.75774,165224
64_64_U_SP_DT_CL_GenMul_default_mfs_output,CORRECT,3.30924,133796
64_64_U2_DT_BK_Multgen_default_mfs_output,CORRECT,3.32443,217112
64_64_U2_DT_RC_Multgen_default_mfs_output,CORRECT,3.33812,199356
64_64_U2_DT_HCA_Multgen_default_mfs_output,CORRECT,3.63543,170268
64_64_U_SP_WT_RC_GenMul_default_mfs_output,CORRECT,3.66649,152704
64_64_U2_DT_JCA_Multgen_default_mfs_output,CORRECT,4.38144,200836
64_64_U2_DT_LF_Multgen_default_mfs_output,CORRECT,4.38377,200588
64_64_U_SP_WT_CL_GenMul_default_mfs_output,CORRECT,4.91958,152892
64_64_U1_WT_RC_Multgen_default_mfs_output,CORRECT,5.32099,153416
64_64_U_SP_WT_SE_GenMul_default_mfs_output,CORRECT,5.91919,144400
64_64_U1_WT_HCA_Multgen_default_mfs_output,CORRECT,9.26685,139432
64_64_U1_4to2_BK_Multgen_mfs_output,CORRECT,10.3029,184464
64_64_U1_4to2_BK_Multgen_default_mfs_output,CORRECT,10.6767,184520
64_64_U1_4to2_RC_Multgen_default_mfs_output,CORRECT,15.4925,215628
64_64_U1_4to2_HCA_Multgen_default_mfs_output,CORRECT,24.3158,188984
64_64_U2_4to2_BK_Multgen_default_mfs_output,CORRECT,28.5113,364356
64_64_U2_WT_BK_Multgen_default_mfs_output,CORRECT,28.8701,325756
64_64_U_SP_WT_BK_GenMul_default_mfs_output,CORRECT,35.3103,298752
64_64_U2_WT_LF_Multgen_default_mfs_output,CORRECT,46.2402,309652
64_64_U2_WT_JCA_Multgen_default_mfs_output,CORRECT,49.4124,309780
64_64_U2_4to2_RC_Multgen_default_mfs_output,CORRECT,111.996,634044
64_64_U1_WT_JCA_Multgen_default_mfs_output,CORRECT,177.162,971484
64_64_U1_WT_LF_Multgen_default_mfs_output,CORRECT,180.248,971488
64_64_U_SP_CWT_BK_GenMul_default_mfs_output,CORRECT,555.264,367296
64_64_U1_WT_BK_Multgen_default_mfs_output,CORRECT,579.298,2254832
64_64_U1_4to2_JCA_Multgen_mfs_output,CORRECT,586.449,301304
64_64_U1_4to2_JCA_Multgen_default_mfs_output,CORRECT,594.74,301340
64_64_U1_4to2_LF_Multgen_default_mfs_output,CORRECT,602.767,301192
64_64_U_SP_WT_LF_GenMul_default_mfs_output,CORRECT,1358.49,915904
64_64_U2_WT_RC_Multgen_default_mfs_output,CORRECT,2471.66,2003960
64_64_U1_WT_KS_Multgen_default_mfs_output,UNKNOWN,TO,
64_64_U2_4to2_HCA_Multgen_default_mfs_output,UNKNOWN,TO,
64_64_U_SP_DT_CK_GenMul_default_mfs_output,UNKNOWN,TO,
64_64_U_SP_WT_CK_GenMul_default_mfs_output,UNKNOWN,TO,
64_64_U_SP_WT_KS_GenMul_default_mfs_output,UNKNOWN,TO,
64_64_U_SP_DT_KS_GenMul_default_mfs_output,UNKNOWN,TO,
64_64_U2_WT_HCA_Multgen_default_mfs_output,UNKNOWN,TO,
64_64_U1_DT_KS_Multgen_default_mfs_output,UNKNOWN,TO,
64_64_U2_4to2_KS_Multgen_default_mfs_output,UNKNOWN,TO,
64_64_U2_4to2_LF_Multgen_default_mfs_output,UNKNOWN,TO,
64_64_U_SP_CWT_KS_GenMul_default_mfs_output,UNKNOWN,TO,
64_64_U_SP_CWT_RC_GenMul_default_mfs_output,UNKNOWN,TO,
64_64_U_SP_CWT_CL_GenMul_default_mfs_output,UNKNOWN,TO,
64_64_U_SP_CWT_SE_GenMul_default_mfs_output,UNKNOWN,TO,
64_64_U2_WT_KS_Multgen_default_mfs_output,UNKNOWN,TO,
64_64_U_SP_CWT_LF_GenMul_default_mfs_output,UNKNOWN,TO,
64_64_U2_DT_KS_Multgen_default_mfs_output,UNKNOWN,TO,
64_64_U_SP_CWT_CK_GenMul_default_mfs_output,UNKNOWN,TO,
64_64_U1_4to2_KS_Multgen_default_mfs_output,UNKNOWN,TO,
64_64_U2_4to2_JCA_Multgen_default_mfs_output,UNKNOWN,TO,
64_64_U1_4to2_KS_Multgen_mfs_output,UNKNOWN,None,4360
64_64_U1_4to2_LF_Multgen_mfs_output,UNKNOWN,None,4320
64_64_U_SP_AR_CK_GenMul_mfs_output,UNKNOWN,None,4332
64_64_U1_4to2_RC_Multgen_mfs_output,UNKNOWN,None,4292
64_64_U_SP_AR_KS_GenMul_mfs_output,UNKNOWN,None,4436
64_64_U_SP_AR_CL_GenMul_mfs_output,UNKNOWN,None,4360
64_64_U1_DT_BK_Multgen_mfs_output,UNKNOWN,None,4328
64_64_U_SP_AR_BK_GenMul_mfs_output,UNKNOWN,None,4344
64_64_U1_DT_JCA_Multgen_mfs_output,UNKNOWN,None,4416
64_64_U_SP_AR_LF_GenMul_mfs_output,UNKNOWN,None,4292
64_64_U_SP_AR_RC_GenMul_mfs_output,UNKNOWN,None,4340
64_64_U2_4to2_JCA_Multgen_mfs_output,UNKNOWN,None,4292
64_64_U1_WT_HCA_Multgen_mfs_output,UNKNOWN,None,4360
64_64_U1_4to2_HCA_Multgen_mfs_output,UNKNOWN,None,4284
64_64_U2_4to2_HCA_Multgen_mfs_output,UNKNOWN,None,4432
64_64_U_SP_AR_SE_GenMul_mfs_output,UNKNOWN,None,4420
64_64_U2_4to2_KS_Multgen_mfs_output,UNKNOWN,None,4340
64_64_U2_DT_HCA_Multgen_mfs_output,UNKNOWN,None,4348
