File Name,Circuit Status,Time Overall,Memory Usage
256_256_U1_4to2_RC_Multgen_resyn3_output,CORRECT,50.3986,4363316
256_256_U1_WT_RC_Multgen_resyn3_output,CORRECT,50.5861,4270944
256_256_U_SP_AR_SE_GenMul_resyn3_output,CORRECT,56.0255,5028576
256_256_U_SP_DT_RC_GenMul_resyn3_output,CORRECT,57.4178,4200316
256_256_U_SP_WT_SE_GenMul_resyn3_output,CORRECT,58.2367,4376852
256_256_U_SP_WT_RC_GenMul_resyn3_output,CORRECT,58.5088,4370376
256_256_U_SP_DT_SE_GenMul_resyn3_output,CORRECT,63.6134,4230348
256_256_U1_DT_RC_Multgen_resyn3_output,CORRECT,65.2885,4241556
256_256_U_SP_AR_RC_GenMul_resyn3_output,CORRECT,69.5603,4955320
256_256_U_SP_AR_LF_GenMul_resyn3_output,CORRECT,118.332,4953136
256_256_U_SP_AR_BK_GenMul_resyn3_output,CORRECT,120.838,5086384
256_256_U_SP_CWT_RC_GenMul_resyn3_output,CORRECT,147.612,4063008
256_256_U_SP_CWT_SE_GenMul_resyn3_output,CORRECT,159.086,4154824
256_256_U2_DT_RC_Multgen_resyn3_output,CORRECT,198.67,5240532
256_256_U1_4to2_JCA_Multgen_resyn3_output,CORRECT,203.039,4407168
256_256_U1_4to2_LF_Multgen_resyn3_output,CORRECT,205.787,4497960
256_256_U2_WT_RC_Multgen_resyn3_output,CORRECT,215.522,5218176
256_256_U_SP_WT_BK_GenMul_resyn3_output,CORRECT,225.66,4297176
256_256_U_SP_CWT_BK_GenMul_resyn3_output,CORRECT,230.783,4195524
256_256_U1_WT_BK_Multgen_resyn3_output,CORRECT,256.794,4445764
256_256_U_SP_DT_LF_GenMul_resyn3_output,CORRECT,256.854,4345156
256_256_U1_DT_JCA_Multgen_resyn3_output,CORRECT,315.664,4401116
256_256_U1_DT_LF_Multgen_resyn3_output,CORRECT,332.411,4422396
256_256_U2_4to2_BK_Multgen_resyn3_output,CORRECT,344.673,5242024
256_256_U2_WT_BK_Multgen_resyn3_output,CORRECT,390.991,5481348
256_256_U_SP_WT_LF_GenMul_resyn3_output,CORRECT,427.18,4471968
256_256_U2_4to2_RC_Multgen_resyn3_output,CORRECT,497.793,5321352
256_256_U_SP_CWT_LF_GenMul_resyn3_output,CORRECT,519.549,4255732
256_256_U2_DT_LF_Multgen_resyn3_output,CORRECT,575.353,5320580
256_256_U2_DT_JCA_Multgen_resyn3_output,CORRECT,597.222,5294744
256_256_U2_4to2_LF_Multgen_resyn3_output,CORRECT,612.044,5338788
256_256_U1_WT_JCA_Multgen_resyn3_output,CORRECT,628.428,4481784
256_256_U1_WT_LF_Multgen_resyn3_output,CORRECT,638.236,4455644
256_256_U2_WT_LF_Multgen_resyn3_output,CORRECT,661.162,5387132
256_256_U2_4to2_JCA_Multgen_resyn3_output,CORRECT,707.381,5334908
256_256_U1_4to2_BK_Multgen_resyn3_output,CORRECT,726.03,4450380
256_256_U2_WT_JCA_Multgen_resyn3_output,CORRECT,757.081,5335364
256_256_U1_DT_BK_Multgen_resyn3_output,CORRECT,837.834,6079660
256_256_U_SP_DT_BK_GenMul_resyn3_output,CORRECT,863.031,6074332
256_256_U2_DT_BK_Multgen_resyn3_output,CORRECT,1084.95,6706456
256_256_U1_WT_HCA_Multgen_resyn3_output,UNKNOWN,,
256_256_U1_WT_KS_Multgen_resyn3_output,UNKNOWN,,
256_256_U2_4to2_HCA_Multgen_resyn3_output,UNKNOWN,,
256_256_U2_4to2_KS_Multgen_resyn3_output,UNKNOWN,,
256_256_U2_DT_KS_Multgen_resyn3_output,UNKNOWN,,
256_256_U2_DT_HCA_Multgen_resyn3_output,UNKNOWN,,
256_256_U_SP_AR_CL_GenMul_resyn3_output,UNKNOWN,,
256_256_U2_WT_KS_Multgen_resyn3_output,UNKNOWN,,
256_256_U2_WT_HCA_Multgen_resyn3_output,UNKNOWN,,
256_256_U_SP_AR_KS_GenMul_resyn3_output,UNKNOWN,,
256_256_U_SP_AR_CK_GenMul_resyn3_output,UNKNOWN,,
256_256_U_SP_CWT_CK_GenMul_resyn3_output,UNKNOWN,,
256_256_U_SP_CWT_CL_GenMul_resyn3_output,UNKNOWN,,
256_256_U_SP_CWT_KS_GenMul_resyn3_output,UNKNOWN,,
256_256_U_SP_DT_CK_GenMul_resyn3_output,UNKNOWN,,
256_256_U_SP_DT_CL_GenMul_resyn3_output,UNKNOWN,,
256_256_U_SP_DT_KS_GenMul_resyn3_output,UNKNOWN,,
256_256_U_SP_WT_CK_GenMul_resyn3_output,UNKNOWN,,
256_256_U_SP_WT_CL_GenMul_resyn3_output,UNKNOWN,,
256_256_U_SP_WT_KS_GenMul_resyn3_output,UNKNOWN,,
256_256_U1_4to2_HCA_Multgen_resyn3_output,UNKNOWN,,
256_256_U1_4to2_KS_Multgen_resyn3_output,UNKNOWN,,
256_256_U1_DT_HCA_Multgen_resyn3_output,UNKNOWN,,
256_256_U1_DT_KS_Multgen_resyn3_output,UNKNOWN,,
