File Name,Circuit Status,Time Overall,Memory Usage
64_64_U_SP_WT_SE_GenMul_resyn3_output,CORRECT,1.78256,170640
64_64_U_SP_DT_RC_GenMul_resyn3_output,CORRECT,1.79496,162772
64_64_U_SP_DT_SE_GenMul_resyn3_output,CORRECT,1.79676,162880
64_64_U_SP_WT_RC_GenMul_resyn3_output,CORRECT,1.86342,170572
64_64_U_SP_AR_SE_GenMul_resyn3_output,CORRECT,1.98792,191800
64_64_U_SP_AR_RC_GenMul_resyn3_output,CORRECT,2.00849,191712
64_64_U1_4to2_RC_Multgen_resyn3_output,CORRECT,2.0244,174936
64_64_U_SP_AR_LF_GenMul_resyn3_output,CORRECT,2.29544,192332
64_64_U1_DT_RC_Multgen_resyn3_output,CORRECT,2.3298,268804
64_64_U1_WT_RC_Multgen_resyn3_output,CORRECT,2.47983,274996
64_64_U_SP_CWT_SE_GenMul_resyn3_output,CORRECT,3.16432,167832
64_64_U_SP_CWT_RC_GenMul_resyn3_output,CORRECT,3.23659,167496
64_64_U1_4to2_BK_Multgen_resyn3_output,CORRECT,3.24614,183436
64_64_U1_4to2_JCA_Multgen_resyn3_output,CORRECT,3.39207,178468
64_64_U1_4to2_LF_Multgen_resyn3_output,CORRECT,3.46176,289624
64_64_U_SP_WT_BK_GenMul_resyn3_output,CORRECT,3.67441,182400
64_64_U_SP_CWT_LF_GenMul_resyn3_output,CORRECT,3.70314,214064
64_64_U1_DT_BK_Multgen_resyn3_output,CORRECT,3.88914,187400
64_64_U_SP_WT_LF_GenMul_resyn3_output,CORRECT,4.03598,222424
64_64_U2_4to2_RC_Multgen_resyn3_output,CORRECT,4.10869,316952
64_64_U_SP_DT_BK_GenMul_resyn3_output,CORRECT,4.10973,202036
64_64_U_SP_CWT_BK_GenMul_resyn3_output,CORRECT,4.24325,240580
64_64_U1_WT_BK_Multgen_resyn3_output,CORRECT,4.25395,296124
64_64_U_SP_AR_BK_GenMul_resyn3_output,CORRECT,4.26179,248652
64_64_U_SP_DT_LF_GenMul_resyn3_output,CORRECT,4.35852,218316
64_64_U1_WT_LF_Multgen_resyn3_output,CORRECT,4.46053,296724
64_64_U1_WT_JCA_Multgen_resyn3_output,CORRECT,4.56621,295356
64_64_U2_DT_RC_Multgen_resyn3_output,CORRECT,4.6272,313000
64_64_U1_DT_LF_Multgen_resyn3_output,CORRECT,4.87217,280364
64_64_U1_DT_JCA_Multgen_resyn3_output,CORRECT,5.044,284324
64_64_U2_4to2_JCA_Multgen_resyn3_output,CORRECT,5.46378,313408
64_64_U2_4to2_LF_Multgen_resyn3_output,CORRECT,5.51585,314200
64_64_U2_4to2_BK_Multgen_resyn3_output,CORRECT,5.60379,317668
64_64_U2_DT_LF_Multgen_resyn3_output,CORRECT,6.4895,321656
64_64_U2_WT_BK_Multgen_resyn3_output,CORRECT,6.64453,328760
64_64_U2_DT_BK_Multgen_resyn3_output,CORRECT,6.73473,315012
64_64_U2_DT_JCA_Multgen_resyn3_output,CORRECT,6.82093,312912
64_64_U2_WT_LF_Multgen_resyn3_output,CORRECT,7.32294,275316
64_64_U2_WT_JCA_Multgen_resyn3_output,CORRECT,7.34342,275260
64_64_U2_WT_RC_Multgen_resyn3_output,CORRECT,9.32064,249320
64_64_U_SP_AR_CL_GenMul_resyn3_output,CORRECT,72.0965,330036
64_64_U_SP_AR_CK_GenMul_resyn3_output,CORRECT,187.424,371480
64_64_U_SP_AR_KS_GenMul_resyn3_output,CORRECT,191.611,668656
64_64_U1_DT_HCA_Multgen_resyn3_output,CORRECT,204.924,1316492
64_64_U1_DT_KS_Multgen_resyn3_output,CORRECT,235.988,879696
64_64_U2_DT_HCA_Multgen_resyn3_output,CORRECT,242.357,1505260
64_64_U_SP_DT_CK_GenMul_resyn3_output,CORRECT,248.587,448984
64_64_U2_4to2_KS_Multgen_resyn3_output,CORRECT,322.015,1333548
64_64_U_SP_DT_KS_GenMul_resyn3_output,CORRECT,468.868,1834812
64_64_U_SP_WT_CL_GenMul_resyn3_output,CORRECT,1012.52,1119760
64_64_U_SP_CWT_CL_GenMul_resyn3_output,CORRECT,1144.68,1230136
64_64_U_SP_DT_CL_GenMul_resyn3_output,CORRECT,1467.28,1368320
64_64_U2_4to2_HCA_Multgen_resyn3_output,CORRECT,1488.06,2616532
64_64_U1_WT_KS_Multgen_resyn3_output,CORRECT,2463.11,2380408
64_64_U1_WT_HCA_Multgen_resyn3_output,CORRECT,3460.17,2346344
64_64_U1_4to2_HCA_Multgen_resyn3_output,UNKNOWN,,
64_64_U1_4to2_KS_Multgen_resyn3_output,UNKNOWN,,
64_64_U2_DT_KS_Multgen_resyn3_output,UNKNOWN,,
64_64_U2_WT_HCA_Multgen_resyn3_output,UNKNOWN,,
64_64_U2_WT_KS_Multgen_resyn3_output,UNKNOWN,,
64_64_U_SP_CWT_CK_GenMul_resyn3_output,UNKNOWN,,
64_64_U_SP_CWT_KS_GenMul_resyn3_output,UNKNOWN,,
64_64_U_SP_WT_CK_GenMul_resyn3_output,UNKNOWN,,
64_64_U_SP_WT_KS_GenMul_resyn3_output,UNKNOWN,,
