File Name,Circuit Status,Time Overall,Memory Usage
32_32_U_SP_AR_KS_GenMul_output,CORRECT,0.237195,36112
32_32_U_SP_AR_CK_GenMul_output,CORRECT,0.24086,36132
32_32_U_SP_AR_RC_GenMul_output,CORRECT,0.243271,36128
32_32_U_SP_DT_RC_GenMul_output,CORRECT,0.243871,51052
32_32_U_SP_AR_SE_GenMul_output,CORRECT,0.245213,55444
32_32_U_SP_DT_SE_GenMul_output,CORRECT,0.254578,50780
32_32_U_SP_DT_KS_GenMul_output,CORRECT,0.257954,56864
32_32_U_SP_DT_LF_GenMul_output,CORRECT,0.262445,56368
32_32_U_SP_DT_BK_GenMul_output,CORRECT,0.265796,56068
32_32_U_SP_AR_BK_GenMul_output,CORRECT,0.27335,36172
32_32_U_SP_AR_LF_GenMul_output,CORRECT,0.274146,36052
32_32_U_SP_WT_SE_GenMul_output,CORRECT,0.293479,50136
32_32_U_SP_DT_CK_GenMul_output,CORRECT,0.302168,55284
32_32_U_SP_WT_BK_GenMul_output,CORRECT,0.314436,52312
32_32_U_SP_WT_LF_GenMul_output,CORRECT,0.330592,53448
32_32_U_SP_WT_RC_GenMul_output,CORRECT,0.695389,50000
32_32_U_SP_CWT_BK_GenMul_output,CORRECT,1.18275,73212
32_32_U_SP_CWT_SE_GenMul_output,CORRECT,46.3397,104024
32_32_U_SP_CWT_LF_GenMul_output,CORRECT,1811.34,4612060
32_32_U_SP_CWT_RC_GenMul_output,CORRECT,1930.92,2994648
32_32_U_SP_DT_CL_GenMul_output,UNKNOWN,TO,
32_32_U_SP_CWT_CK_GenMul_output,UNKNOWN,TO,
32_32_U_SP_WT_KS_GenMul_output,UNKNOWN,TO,
32_32_U_SP_CWT_CL_GenMul_output,UNKNOWN,TO,
32_32_U_SP_WT_CL_GenMul_output,UNKNOWN,TO,
32_32_U_SP_AR_CL_GenMul_output,UNKNOWN,TO,
32_32_U_SP_CWT_KS_GenMul_output,UNKNOWN,TO,
32_32_U_SP_WT_CK_GenMul_output,UNKNOWN,TO,
