File Name,Circuit Status,Time Overall,Memory Usage
32_32_U_SP_AR_SE_GenMul_dc2_output,CORRECT,0.218059,4748
32_32_U_SP_AR_CL_GenMul_dc2_output,CORRECT,0.219568,4772
32_32_U_SP_AR_RC_GenMul_dc2_output,CORRECT,0.220636,4772
32_32_U_SP_DT_SE_GenMul_dc2_output,CORRECT,0.225146,4736
32_32_U_SP_AR_BK_GenMul_dc2_output,CORRECT,0.238516,4256
32_32_U_SP_AR_CK_GenMul_dc2_output,CORRECT,0.252506,4736
32_32_U_SP_WT_RC_GenMul_dc2_output,CORRECT,0.25516,4748
32_32_U_SP_DT_RC_GenMul_dc2_output,CORRECT,0.261444,4268
32_32_U_SP_WT_CL_GenMul_dc2_output,CORRECT,0.261558,4272
32_32_U_SP_AR_LF_GenMul_dc2_output,CORRECT,0.262757,4752
32_32_U_SP_DT_BK_GenMul_dc2_output,CORRECT,0.266747,4852
32_32_U_SP_DT_CK_GenMul_dc2_output,CORRECT,0.27315,4268
32_32_U_SP_DT_LF_GenMul_dc2_output,CORRECT,0.291141,4816
32_32_U_SP_WT_SE_GenMul_dc2_output,CORRECT,0.347123,4264
32_32_U_SP_WT_CK_GenMul_dc2_output,CORRECT,0.391486,4236
32_32_U_SP_WT_BK_GenMul_dc2_output,CORRECT,0.424415,4232
32_32_U_SP_WT_LF_GenMul_dc2_output,CORRECT,0.425307,4208
32_32_U_SP_CWT_SE_GenMul_dc2_output,CORRECT,0.480568,4716
32_32_U_SP_CWT_LF_GenMul_dc2_output,CORRECT,0.528729,4256
32_32_U_SP_CWT_CL_GenMul_dc2_output,CORRECT,0.561782,4736
32_32_U_SP_CWT_RC_GenMul_dc2_output,CORRECT,0.591616,4276
32_32_U_SP_DT_CL_GenMul_dc2_output,CORRECT,0.682675,4228
32_32_U_SP_CWT_BK_GenMul_dc2_output,CORRECT,0.687443,4764
32_32_U_SP_CWT_CK_GenMul_dc2_output,CORRECT,0.829772,4276
32_32_U_SP_AR_KS_GenMul_dc2_output,UNKNOWN,TO,
32_32_U_SP_WT_KS_GenMul_dc2_output,UNKNOWN,TO,
32_32_U_SP_DT_KS_GenMul_dc2_output,UNKNOWN,TO,
32_32_U_SP_CWT_KS_GenMul_dc2_output,UNKNOWN,TO,
