File Name,Time (seconds),Memory (KB),Method
128_128_U1_4to2_BK_Multgen_dc2,TO,,kissat
128_128_U1_4to2_HCA_Multgen_dc2,1482.82,112044,sat-sweeping
128_128_U1_4to2_JCA_Multgen_dc2,202.35,111408,sat-sweeping
128_128_U1_4to2_KS_Multgen_dc2,335.60,118436,sat-sweeping
128_128_U1_4to2_LF_Multgen_dc2,173.59,111580,sat-sweeping
128_128_U1_4to2_RC_Multgen_dc2,20.84,65484,sat-sweeping
128_128_U1_DT_BK_Multgen_dc2,26.15,66308,sat-sweeping
128_128_U1_DT_HCA_Multgen_dc2,116.79,118132,kissat
128_128_U1_DT_JCA_Multgen_dc2,88.55,119524,kissat
128_128_U1_DT_KS_Multgen_dc2,115.02,120452,kissat
128_128_U1_DT_LF_Multgen_dc2,73.74,119104,kissat
128_128_U1_DT_RC_Multgen_dc2,25.76,66316,sat-sweeping
128_128_U1_WT_BK_Multgen_dc2,110.45,115264,kissat
128_128_U1_WT_HCA_Multgen_dc2,119.96,128884,sat-sweeping
128_128_U1_WT_JCA_Multgen_dc2,182.74,117788,kissat
128_128_U1_WT_KS_Multgen_dc2,118.61,119560,kissat
128_128_U1_WT_LF_Multgen_dc2,186.76,118072,kissat
128_128_U1_WT_RC_Multgen_dc2,54.57,112548,kissat
128_128_U2_4to2_BK_Multgen_dc2,TO,,
128_128_U2_4to2_HCA_Multgen_dc2,267.60,129428,sat-sweeping
128_128_U2_4to2_JCA_Multgen_dc2,1237.36,128956,sat-sweeping
128_128_U2_4to2_KS_Multgen_dc2,471.07,131788,sat-sweeping
128_128_U2_4to2_LF_Multgen_dc2,1236.28,129088,sat-sweeping
128_128_U2_4to2_RC_Multgen_dc2,28.65,71380,sat-sweeping
128_128_U2_DT_BK_Multgen_dc2,476.05,118904,kissat
128_128_U2_DT_HCA_Multgen_dc2,234.77,143148,sat-sweeping
128_128_U2_DT_JCA_Multgen_dc2,448.40,113100,kissat
128_128_U2_DT_KS_Multgen_dc2,561.98,116700,kissat
128_128_U2_DT_LF_Multgen_dc2,458.03,113564,kissat
128_128_U2_DT_RC_Multgen_dc2,26.62,74116,sat-sweeping
128_128_U2_WT_BK_Multgen_dc2,326.16,119680,kissat
128_128_U2_WT_HCA_Multgen_dc2,513.82,119800,kissat
128_128_U2_WT_JCA_Multgen_dc2,528.24,122952,kissat
128_128_U2_WT_KS_Multgen_dc2,377.86,144952,sat-sweeping
128_128_U2_WT_LF_Multgen_dc2,562.38,121804,kissat
128_128_U2_WT_RC_Multgen_dc2,38.07,141304,sat-sweeping
128_128_U_SP_AR_BK_GenMul_dc2,13.10,106628,kissat
128_128_U_SP_AR_CK_GenMul_dc2,23.11,109708,kissat
128_128_U_SP_AR_CL_GenMul_dc2,29.41,107048,kissat
128_128_U_SP_AR_KS_GenMul_dc2,23.89,98892,kissat
128_128_U_SP_AR_LF_GenMul_dc2,22.24,109712,kissat
128_128_U_SP_AR_RC_GenMul_dc2,59.81,70288,sat-sweeping
128_128_U_SP_AR_SE_GenMul_dc2,18.87,109880,kissat
128_128_U_SP_CWT_BK_GenMul_dc2,73.36,123236,kissat
128_128_U_SP_CWT_CK_GenMul_dc2,94.83,123892,kissat
128_128_U_SP_CWT_CL_GenMul_dc2,221.47,129168,sat-sweeping
128_128_U_SP_CWT_KS_GenMul_dc2,290.96,132736,sat-sweeping
128_128_U_SP_CWT_LF_GenMul_dc2,115.01,128600,kissat
128_128_U_SP_CWT_RC_GenMul_dc2,62.15,127392,sat-sweeping
128_128_U_SP_CWT_SE_GenMul_dc2,15.55,65332,sat-sweeping
128_128_U_SP_DT_BK_GenMul_dc2,86.80,119360,kissat
128_128_U_SP_DT_CK_GenMul_dc2,27.69,66072,sat-sweeping
128_128_U_SP_DT_CL_GenMul_dc2,21.87,66384,sat-sweeping
128_128_U_SP_DT_KS_GenMul_dc2,124.28,119620,kissat
128_128_U_SP_DT_LF_GenMul_dc2,197.96,116288,kissat
128_128_U_SP_DT_RC_GenMul_dc2,24.93,66032,sat-sweeping
128_128_U_SP_DT_SE_GenMul_dc2,12.82,64196,sat-sweeping
128_128_U_SP_WT_BK_GenMul_dc2,69.88,118300,kissat
128_128_U_SP_WT_CK_GenMul_dc2,59.65,115136,kissat
128_128_U_SP_WT_CL_GenMul_dc2,118.68,115936,kissat
128_128_U_SP_WT_KS_GenMul_dc2,173.01,119848,kissat
128_128_U_SP_WT_LF_GenMul_dc2,207.68,123996,kissat
128_128_U_SP_WT_RC_GenMul_dc2,79.97,115788,kissat
128_128_U_SP_WT_SE_GenMul_dc2,19.36,64248,sat-sweeping
