File Name,Time (seconds),Memory (KB),Method
128_128_U1_4to2_BK_Multgen_dc2,22.62,63432,sat-sweeping
128_128_U1_4to2_HCA_Multgen_dc2,15.36,239484,sat-sweeping
128_128_U1_4to2_JCA_Multgen_dc2,39.48,237380,sat-sweeping
128_128_U1_4to2_KS_Multgen_dc2,18.32,240276,sat-sweeping
128_128_U1_4to2_LF_Multgen_dc2,38.23,237460,sat-sweeping
128_128_U1_4to2_RC_Multgen_dc2,12.24,235456,sat-sweeping
128_128_U1_DT_BK_Multgen_dc2,17.80,256260,sat-sweeping
128_128_U1_DT_HCA_Multgen_dc2,17.56,259956,sat-sweeping
128_128_U1_DT_JCA_Multgen_dc2,45.70,257264,sat-sweeping
128_128_U1_DT_KS_Multgen_dc2,20.18,260576,sat-sweeping
128_128_U1_DT_LF_Multgen_dc2,48.16,257268,sat-sweeping
128_128_U1_DT_RC_Multgen_dc2,13.71,256688,sat-sweeping
128_128_U1_WT_BK_Multgen_dc2,20.23,262396,sat-sweeping
128_128_U1_WT_HCA_Multgen_dc2,13.26,264824,sat-sweeping
128_128_U1_WT_JCA_Multgen_dc2,18.12,262400,sat-sweeping
128_128_U1_WT_KS_Multgen_dc2,13.82,265724,sat-sweeping
128_128_U1_WT_LF_Multgen_dc2,16.72,264152,sat-sweeping
128_128_U1_WT_RC_Multgen_dc2,14.36,263172,sat-sweeping
128_128_U2_4to2_BK_Multgen_dc2,12.74,340892,sat-sweeping
128_128_U2_4to2_HCA_Multgen_dc2,16.60,341372,sat-sweeping
128_128_U2_4to2_JCA_Multgen_dc2,15.03,340820,sat-sweeping
128_128_U2_4to2_KS_Multgen_dc2,16.09,343984,sat-sweeping
128_128_U2_4to2_LF_Multgen_dc2,13.87,343052,sat-sweeping
128_128_U2_4to2_RC_Multgen_dc2,21.07,340228,sat-sweeping
128_128_U2_DT_BK_Multgen_dc2,36.63,365940,sat-sweeping
128_128_U2_DT_HCA_Multgen_dc2,34.99,366732,sat-sweeping
128_128_U2_DT_JCA_Multgen_dc2,62.66,365776,sat-sweeping
128_128_U2_DT_KS_Multgen_dc2,34.45,368112,sat-sweeping
128_128_U2_DT_LF_Multgen_dc2,61.79,368112,sat-sweeping
128_128_U2_DT_RC_Multgen_dc2,19.10,366096,sat-sweeping
128_128_U2_WT_BK_Multgen_dc2,19.63,372980,sat-sweeping
128_128_U2_WT_HCA_Multgen_dc2,22.14,372036,sat-sweeping
128_128_U2_WT_JCA_Multgen_dc2,29.49,371576,sat-sweeping
128_128_U2_WT_KS_Multgen_dc2,36.20,374668,sat-sweeping
128_128_U2_WT_LF_Multgen_dc2,28.13,371016,sat-sweeping
128_128_U2_WT_RC_Multgen_dc2,18.77,371192,sat-sweeping
128_128_U_SP_AR_BK_GenMul_dc2,14.95,107804,kissat
128_128_U_SP_AR_CK_GenMul_dc2,25.60,109964,kissat
128_128_U_SP_AR_CL_GenMul_dc2,34.64,105756,kissat
128_128_U_SP_AR_KS_GenMul_dc2,26.07,102404,kissat
128_128_U_SP_AR_LF_GenMul_dc2,24.23,108388,kissat
128_128_U_SP_AR_RC_GenMul_dc2,34.74,280340,sat-sweeping
128_128_U_SP_AR_SE_GenMul_dc2,19.96,219928,kissat
128_128_U_SP_CWT_BK_GenMul_dc2,16.53,258508,sat-sweeping
128_128_U_SP_CWT_CK_GenMul_dc2,15.33,227748,sat-sweeping
128_128_U_SP_CWT_CL_GenMul_dc2,15.37,229556,sat-sweeping
128_128_U_SP_CWT_KS_GenMul_dc2,15.19,257992,sat-sweeping
128_128_U_SP_CWT_LF_GenMul_dc2,14.17,260640,sat-sweeping
128_128_U_SP_CWT_RC_GenMul_dc2,14.11,256000,sat-sweeping
128_128_U_SP_CWT_SE_GenMul_dc2,14.12,257548,sat-sweeping
128_128_U_SP_DT_BK_GenMul_dc2,30.31,257436,sat-sweeping
128_128_U_SP_DT_CK_GenMul_dc2,27.31,256916,sat-sweeping
128_128_U_SP_DT_CL_GenMul_dc2,18.60,256544,sat-sweeping
128_128_U_SP_DT_KS_GenMul_dc2,29.26,260164,sat-sweeping
128_128_U_SP_DT_LF_GenMul_dc2,65.65,258136,sat-sweeping
128_128_U_SP_DT_RC_GenMul_dc2,16.09,258476,sat-sweeping
128_128_U_SP_DT_SE_GenMul_dc2,14.49,64336,sat-sweeping
128_128_U_SP_WT_BK_GenMul_dc2,16.49,264092,sat-sweeping
128_128_U_SP_WT_CK_GenMul_dc2,17.56,261736,sat-sweeping
128_128_U_SP_WT_CL_GenMul_dc2,58.22,262480,sat-sweeping
128_128_U_SP_WT_KS_GenMul_dc2,19.44,267940,sat-sweeping
128_128_U_SP_WT_LF_GenMul_dc2,46.33,262800,sat-sweeping
128_128_U_SP_WT_RC_GenMul_dc2,16.91,262708,sat-sweeping
128_128_U_SP_WT_SE_GenMul_dc2,14.64,261016,sat-sweeping
