File Name,Time (seconds),Memory (KB),Method
128_128_U1_4to2_BK_Multgen_dc2,21.20,63568,sat-sweeping
128_128_U1_4to2_HCA_Multgen_dc2,1410.08,111904,sat-sweeping
128_128_U1_4to2_JCA_Multgen_dc2,234.04,112268,sat-sweeping
128_128_U1_4to2_KS_Multgen_dc2,146.43,161552,fraig
128_128_U1_4to2_LF_Multgen_dc2,166.63,112332,sat-sweeping
128_128_U1_4to2_RC_Multgen_dc2,0.57,105960,fraig
128_128_U1_DT_BK_Multgen_dc2,25.20,66356,sat-sweeping
128_128_U1_DT_HCA_Multgen_dc2,27.33,128396,fraig
128_128_U1_DT_JCA_Multgen_dc2,72.16,118692,kissat
128_128_U1_DT_KS_Multgen_dc2,98.69,120468,kissat
128_128_U1_DT_LF_Multgen_dc2,77.62,120168,kissat
128_128_U1_DT_RC_Multgen_dc2,0.84,117360,fraig
128_128_U1_WT_BK_Multgen_dc2,104.33,115472,kissat
128_128_U1_WT_HCA_Multgen_dc2,120.86,119144,kissat
128_128_U1_WT_JCA_Multgen_dc2,185.43,119324,kissat
128_128_U1_WT_KS_Multgen_dc2,117.78,120056,kissat
128_128_U1_WT_LF_Multgen_dc2,173.46,117716,kissat
128_128_U1_WT_RC_Multgen_dc2,55.99,111144,kissat
128_128_U2_4to2_BK_Multgen_dc2,N/A,145320,N/A
128_128_U2_4to2_HCA_Multgen_dc2,260.43,129000,sat-sweeping
128_128_U2_4to2_JCA_Multgen_dc2,1206.86,128596,sat-sweeping
128_128_U2_4to2_KS_Multgen_dc2,483.57,132276,sat-sweeping
128_128_U2_4to2_LF_Multgen_dc2,1184.70,128236,sat-sweeping
128_128_U2_4to2_RC_Multgen_dc2,0.87,129984,fraig
128_128_U2_DT_BK_Multgen_dc2,499.27,117980,kissat
128_128_U2_DT_HCA_Multgen_dc2,172.64,187884,fraig
128_128_U2_DT_JCA_Multgen_dc2,449.74,114036,kissat
128_128_U2_DT_KS_Multgen_dc2,523.98,249332,fraig
128_128_U2_DT_LF_Multgen_dc2,412.91,110744,kissat
128_128_U2_DT_RC_Multgen_dc2,0.79,139012,fraig
128_128_U2_WT_BK_Multgen_dc2,299.79,117672,kissat
128_128_U2_WT_HCA_Multgen_dc2,501.54,120972,kissat
128_128_U2_WT_JCA_Multgen_dc2,540.36,123452,kissat
128_128_U2_WT_KS_Multgen_dc2,395.97,145112,sat-sweeping
128_128_U2_WT_LF_Multgen_dc2,563.27,121824,kissat
128_128_U2_WT_RC_Multgen_dc2,48.58,140988,sat-sweeping
128_128_U_SP_AR_BK_GenMul_dc2,2.79,115372,fraig
128_128_U_SP_AR_CK_GenMul_dc2,2.60,112564,fraig
128_128_U_SP_AR_CL_GenMul_dc2,2.33,230568,fraig
128_128_U_SP_AR_KS_GenMul_dc2,29.62,100324,kissat
128_128_U_SP_AR_LF_GenMul_dc2,2.28,112344,fraig
128_128_U_SP_AR_RC_GenMul_dc2,2.12,111840,fraig
128_128_U_SP_AR_SE_GenMul_dc2,1.87,114428,fraig
128_128_U_SP_CWT_BK_GenMul_dc2,87.04,122172,kissat
128_128_U_SP_CWT_CK_GenMul_dc2,89.89,124152,kissat
128_128_U_SP_CWT_CL_GenMul_dc2,212.20,128808,sat-sweeping
128_128_U_SP_CWT_KS_GenMul_dc2,291.99,133032,sat-sweeping
128_128_U_SP_CWT_LF_GenMul_dc2,122.98,127240,kissat
128_128_U_SP_CWT_RC_GenMul_dc2,61.08,128000,sat-sweeping
128_128_U_SP_CWT_SE_GenMul_dc2,0.81,121404,fraig
128_128_U_SP_DT_BK_GenMul_dc2,90.70,119244,kissat
128_128_U_SP_DT_CK_GenMul_dc2,27.21,65740,sat-sweeping
128_128_U_SP_DT_CL_GenMul_dc2,0.79,114172,fraig
128_128_U_SP_DT_KS_GenMul_dc2,100.09,118316,kissat
128_128_U_SP_DT_LF_GenMul_dc2,190.39,116204,kissat
128_128_U_SP_DT_RC_GenMul_dc2,1.03,115688,fraig
128_128_U_SP_DT_SE_GenMul_dc2,0.58,88780,fraig
128_128_U_SP_WT_BK_GenMul_dc2,72.36,117144,kissat
128_128_U_SP_WT_CK_GenMul_dc2,60.83,112664,kissat
128_128_U_SP_WT_CL_GenMul_dc2,133.76,114900,kissat
128_128_U_SP_WT_KS_GenMul_dc2,177.38,119440,kissat
128_128_U_SP_WT_LF_GenMul_dc2,179.07,124124,kissat
128_128_U_SP_WT_RC_GenMul_dc2,73.86,114832,kissat
128_128_U_SP_WT_SE_GenMul_dc2,1.34,119236,fraig
