File Name,Time (seconds),Memory (KB),Method
128_128_U1_4to2_BK_Multgen_resyn3,63.43,81932,kissat
128_128_U1_4to2_HCA_Multgen_resyn3,77.73,86556,sat-sweeping
128_128_U1_4to2_JCA_Multgen_resyn3,99.12,129500,glucose2
128_128_U1_4to2_KS_Multgen_resyn3,211.83,184756,glucose2
128_128_U1_4to2_LF_Multgen_resyn3,102.43,127548,glucose2
128_128_U1_4to2_RC_Multgen_resyn3,4.48,48940,sat-sweeping
128_128_U1_DT_BK_Multgen_resyn3,36.61,105272,kissat
128_128_U1_DT_HCA_Multgen_resyn3,71.16,108132,kissat
128_128_U1_DT_JCA_Multgen_resyn3,44.89,104052,kissat
128_128_U1_DT_KS_Multgen_resyn3,99.21,112548,kissat
128_128_U1_DT_LF_Multgen_resyn3,44.28,103060,kissat
128_128_U1_DT_RC_Multgen_resyn3,65.22,67556,sat-sweeping
128_128_U1_WT_BK_Multgen_resyn3,42.70,105672,kissat
128_128_U1_WT_HCA_Multgen_resyn3,5.07,69584,sat-sweeping
128_128_U1_WT_JCA_Multgen_resyn3,50.72,107468,kissat
128_128_U1_WT_KS_Multgen_resyn3,152.72,114276,kissat
128_128_U1_WT_LF_Multgen_resyn3,52.23,107584,kissat
128_128_U1_WT_RC_Multgen_resyn3,640.49,124708,sat-sweeping
128_128_U2_4to2_BK_Multgen_resyn3,80.46,129656,sat-sweeping
128_128_U2_4to2_HCA_Multgen_resyn3,263.08,111156,sat-sweeping
128_128_U2_4to2_JCA_Multgen_resyn3,834.54,102464,kissat
128_128_U2_4to2_KS_Multgen_resyn3,576.01,128328,sat-sweeping
128_128_U2_4to2_LF_Multgen_resyn3,821.22,107332,kissat
128_128_U2_4to2_RC_Multgen_resyn3,19.52,61120,sat-sweeping
128_128_U2_DT_BK_Multgen_resyn3,217.90,114092,sat-sweeping
128_128_U2_DT_HCA_Multgen_resyn3,363.37,112280,kissat
128_128_U2_DT_JCA_Multgen_resyn3,333.01,114872,kissat
128_128_U2_DT_KS_Multgen_resyn3,606.28,115152,kissat
128_128_U2_DT_LF_Multgen_resyn3,302.59,114376,kissat
128_128_U2_DT_RC_Multgen_resyn3,19.52,73028,sat-sweeping
128_128_U2_WT_BK_Multgen_resyn3,198.43,111100,kissat
128_128_U2_WT_HCA_Multgen_resyn3,340.80,111396,kissat
128_128_U2_WT_JCA_Multgen_resyn3,551.14,113264,kissat
128_128_U2_WT_KS_Multgen_resyn3,581.41,113644,kissat
128_128_U2_WT_RC_Multgen_resyn3,216.69,113748,kissat
128_128_U2_WT_LF_Multgen_resyn3,552.91,112824,kissat
128_128_U_SP_AR_BK_GenMul_resyn3,41.61,78116,sat-sweeping
128_128_U_SP_AR_CK_GenMul_resyn3,41.09,80784,sat-sweeping
128_128_U_SP_AR_CL_GenMul_resyn3,4947.87,277112,sat-sweeping
128_128_U_SP_AR_KS_GenMul_resyn3,1143.34,234096,sat-sweeping
128_128_U_SP_AR_LF_GenMul_resyn3,336.75,236080,sat-sweeping
128_128_U_SP_AR_RC_GenMul_resyn3,37.67,73928,sat-sweeping
128_128_U_SP_AR_SE_GenMul_resyn3,38.10,72432,sat-sweeping
128_128_U_SP_CWT_BK_GenMul_resyn3,103.39,118440,kissat
128_128_U_SP_CWT_CK_GenMul_resyn3,33.46,93436,sat-sweeping
128_128_U_SP_CWT_CL_GenMul_resyn3,3289.81,185968,kissat
128_128_U_SP_CWT_KS_GenMul_resyn3,246.47,88400,sat-sweeping
128_128_U_SP_CWT_LF_GenMul_resyn3,113.11,124428,kissat
128_128_U_SP_CWT_RC_GenMul_resyn3,26.43,92316,sat-sweeping
128_128_U_SP_CWT_SE_GenMul_resyn3,6.99,63928,sat-sweeping
128_128_U_SP_DT_BK_GenMul_resyn3,37.52,107476,kissat
128_128_U_SP_DT_CK_GenMul_resyn3,25.86,66564,sat-sweeping
128_128_U_SP_DT_CL_GenMul_resyn3,2328.93,149888,kissat
128_128_U_SP_DT_KS_GenMul_resyn3,116.36,109400,kissat
128_128_U_SP_DT_LF_GenMul_resyn3,63.77,105348,kissat
128_128_U_SP_DT_RC_GenMul_resyn3,40.02,107768,kissat
128_128_U_SP_DT_SE_GenMul_resyn3,7.41,54468,sat-sweeping
128_128_U_SP_WT_BK_GenMul_resyn3,4.14,67808,sat-sweeping
128_128_U_SP_WT_CK_GenMul_resyn3,54.31,109368,kissat
128_128_U_SP_WT_CL_GenMul_resyn3,944.15,127492,kissat
128_128_U_SP_WT_KS_GenMul_resyn3,119.42,87692,sat-sweeping
128_128_U_SP_WT_LF_GenMul_resyn3,84.63,114664,kissat
128_128_U_SP_WT_RC_GenMul_resyn3,44.97,95012,sat-sweeping
128_128_U_SP_WT_SE_GenMul_resyn3,8.08,65960,sat-sweeping
