File Name,Time (seconds),Memory (KB),Method
128_128_U1_4to2_BK_Multgen_resyn3,61.60,78184,kissat
128_128_U1_4to2_HCA_Multgen_resyn3,81.04,87080,sat-sweeping
128_128_U1_4to2_JCA_Multgen_resyn3,125.33,81688,kissat
128_128_U1_4to2_KS_Multgen_resyn3,275.53,86572,kissat
128_128_U1_4to2_LF_Multgen_resyn3,126.82,86368,kissat
128_128_U1_4to2_RC_Multgen_resyn3,0.69,85356,fraig
128_128_U1_DT_BK_Multgen_resyn3,47.19,104264,kissat
128_128_U1_DT_HCA_Multgen_resyn3,81.94,105936,kissat
128_128_U1_DT_JCA_Multgen_resyn3,54.29,104828,kissat
128_128_U1_DT_KS_Multgen_resyn3,116.78,112904,kissat
128_128_U1_DT_LF_Multgen_resyn3,56.57,103688,kissat
128_128_U1_DT_RC_Multgen_resyn3,0.89,111632,fraig
128_128_U1_WT_BK_Multgen_resyn3,50.87,104216,kissat
128_128_U1_WT_HCA_Multgen_resyn3,5.42,67748,sat-sweeping
128_128_U1_WT_JCA_Multgen_resyn3,62.08,105424,kissat
128_128_U1_WT_KS_Multgen_resyn3,179.35,111812,kissat
128_128_U1_WT_LF_Multgen_resyn3,62.93,104300,kissat
128_128_U1_WT_RC_Multgen_resyn3,41.98,108100,kissat
128_128_U2_4to2_BK_Multgen_resyn3,83.30,129412,sat-sweeping
128_128_U2_4to2_HCA_Multgen_resyn3,271.10,111212,sat-sweeping
128_128_U2_4to2_JCA_Multgen_resyn3,925.40,100176,kissat
128_128_U2_4to2_KS_Multgen_resyn3,589.88,126496,sat-sweeping
128_128_U2_4to2_LF_Multgen_resyn3,964.83,102392,kissat
128_128_U2_4to2_RC_Multgen_resyn3,1.57,107072,fraig
128_128_U2_DT_BK_Multgen_resyn3,205.22,116008,sat-sweeping
128_128_U2_DT_HCA_Multgen_resyn3,374.82,109848,kissat
128_128_U2_DT_JCA_Multgen_resyn3,357.18,111816,kissat
128_128_U2_DT_KS_Multgen_resyn3,672.73,115396,kissat
128_128_U2_DT_LF_Multgen_resyn3,348.69,111860,kissat
128_128_U2_DT_RC_Multgen_resyn3,0.88,105508,fraig
128_128_U2_WT_BK_Multgen_resyn3,237.07,108100,kissat
128_128_U2_WT_HCA_Multgen_resyn3,382.67,108456,kissat
128_128_U2_WT_JCA_Multgen_resyn3,645.68,112884,kissat
128_128_U2_WT_KS_Multgen_resyn3,667.53,111092,kissat
128_128_U2_WT_LF_Multgen_resyn3,637.84,108664,kissat
128_128_U2_WT_RC_Multgen_resyn3,269.41,110884,sat-sweeping
128_128_U_SP_AR_BK_GenMul_resyn3,43.62,76176,sat-sweeping
128_128_U_SP_AR_CK_GenMul_resyn3,6.14,130784,fraig
128_128_U_SP_AR_CL_GenMul_resyn3,TO,276568,sat-sweeping
128_128_U_SP_AR_KS_GenMul_resyn3,1257.36,233016,sat-sweeping
128_128_U_SP_AR_LF_GenMul_resyn3,461.84,238684,sat-sweeping
128_128_U_SP_AR_RC_GenMul_resyn3,5.01,126128,fraig
128_128_U_SP_AR_SE_GenMul_resyn3,4.54,129400,fraig
128_128_U_SP_CWT_BK_GenMul_resyn3,115.41,114264,kissat
128_128_U_SP_CWT_CK_GenMul_resyn3,37.21,126924,sat-sweeping
128_128_U_SP_CWT_CL_GenMul_resyn3,3524.06,186608,kissat
128_128_U_SP_CWT_KS_GenMul_resyn3,240.08,88308,sat-sweeping
128_128_U_SP_CWT_LF_GenMul_resyn3,116.71,124204,kissat
128_128_U_SP_CWT_RC_GenMul_resyn3,27.63,92696,sat-sweeping
128_128_U_SP_CWT_SE_GenMul_resyn3,1.07,117224,fraig
128_128_U_SP_DT_BK_GenMul_resyn3,39.06,106960,kissat
128_128_U_SP_DT_CK_GenMul_resyn3,28.19,66628,sat-sweeping
128_128_U_SP_DT_CL_GenMul_resyn3,2450.09,149456,kissat
128_128_U_SP_DT_KS_GenMul_resyn3,122.68,108596,kissat
128_128_U_SP_DT_LF_GenMul_resyn3,71.81,107388,kissat
128_128_U_SP_DT_RC_GenMul_resyn3,1.20,113388,fraig
128_128_U_SP_DT_SE_GenMul_resyn3,0.76,81376,fraig
128_128_U_SP_WT_BK_GenMul_resyn3,4.71,68092,sat-sweeping
128_128_U_SP_WT_CK_GenMul_resyn3,59.40,108668,kissat
128_128_U_SP_WT_CL_GenMul_resyn3,1020.57,127684,kissat
128_128_U_SP_WT_KS_GenMul_resyn3,110.56,87728,sat-sweeping
128_128_U_SP_WT_LF_GenMul_resyn3,78.41,114068,kissat
128_128_U_SP_WT_RC_GenMul_resyn3,40.93,94736,sat-sweeping
128_128_U_SP_WT_SE_GenMul_resyn3,1.36,116064,fraig
