File Name,Time (seconds),Memory (KB),Method
64_64_U1_4to2_BK_Multgen_resyn3,0.46,21944,sat-sweeping
64_64_U1_4to2_HCA_Multgen_resyn3,1.35,56080,sat-sweeping
64_64_U1_4to2_JCA_Multgen_resyn3,1.18,58376,sat-sweeping
64_64_U1_4to2_KS_Multgen_resyn3,1.62,59280,sat-sweeping
64_64_U1_4to2_LF_Multgen_resyn3,1.19,60580,sat-sweeping
64_64_U1_4to2_RC_Multgen_resyn3,1.27,54948,sat-sweeping
64_64_U1_DT_BK_Multgen_resyn3,3.17,71872,sat-sweeping
64_64_U1_DT_HCA_Multgen_resyn3,3.57,74744,sat-sweeping
64_64_U1_DT_JCA_Multgen_resyn3,3.38,74156,sat-sweeping
64_64_U1_DT_KS_Multgen_resyn3,3.38,75212,sat-sweeping
64_64_U1_DT_LF_Multgen_resyn3,3.39,72100,sat-sweeping
64_64_U1_DT_RC_Multgen_resyn3,2.11,26188,sat-sweeping
64_64_U1_WT_BK_Multgen_resyn3,3.62,77376,sat-sweeping
64_64_U1_WT_HCA_Multgen_resyn3,3.37,78592,sat-sweeping
64_64_U1_WT_JCA_Multgen_resyn3,3.78,79796,sat-sweeping
64_64_U1_WT_KS_Multgen_resyn3,3.61,81740,sat-sweeping
64_64_U1_WT_LF_Multgen_resyn3,3.69,77644,sat-sweeping
64_64_U1_WT_RC_Multgen_resyn3,2.78,73420,sat-sweeping
64_64_U2_4to2_BK_Multgen_resyn3,1.67,76604,sat-sweeping
64_64_U2_4to2_HCA_Multgen_resyn3,1.72,77468,sat-sweeping
64_64_U2_4to2_JCA_Multgen_resyn3,1.56,77884,sat-sweeping
64_64_U2_4to2_KS_Multgen_resyn3,1.76,79408,sat-sweeping
64_64_U2_4to2_LF_Multgen_resyn3,1.67,77780,sat-sweeping
64_64_U2_4to2_RC_Multgen_resyn3,1.35,25992,sat-sweeping
64_64_U2_DT_BK_Multgen_resyn3,3.39,82536,sat-sweeping
64_64_U2_DT_HCA_Multgen_resyn3,3.27,84048,sat-sweeping
64_64_U2_DT_JCA_Multgen_resyn3,2.84,88308,sat-sweeping
64_64_U2_DT_KS_Multgen_resyn3,3.11,89132,sat-sweeping
64_64_U2_DT_LF_Multgen_resyn3,2.84,88448,sat-sweeping
64_64_U2_DT_RC_Multgen_resyn3,2.38,28404,sat-sweeping
64_64_U2_WT_BK_Multgen_resyn3,2.83,93120,sat-sweeping
64_64_U2_WT_HCA_Multgen_resyn3,3.34,91172,sat-sweeping
64_64_U2_WT_JCA_Multgen_resyn3,3.30,90328,sat-sweeping
64_64_U2_WT_KS_Multgen_resyn3,3.25,95948,sat-sweeping
64_64_U2_WT_LF_Multgen_resyn3,3.40,90192,sat-sweeping
64_64_U2_WT_RC_Multgen_resyn3,2.97,85436,sat-sweeping
64_64_U_SP_AR_BK_GenMul_resyn3,3.36,28208,sat-sweeping
64_64_U_SP_AR_CK_GenMul_resyn3,2.71,27156,sat-sweeping
64_64_U_SP_AR_CL_GenMul_resyn3,12.67,86692,sat-sweeping
64_64_U_SP_AR_KS_GenMul_resyn3,4.45,86660,sat-sweeping
64_64_U_SP_AR_LF_GenMul_resyn3,4.85,86292,sat-sweeping
64_64_U_SP_AR_RC_GenMul_resyn3,3.10,27012,sat-sweeping
64_64_U_SP_AR_SE_GenMul_resyn3,3.03,26632,sat-sweeping
64_64_U_SP_CWT_BK_GenMul_resyn3,3.43,69596,sat-sweeping
64_64_U_SP_CWT_CK_GenMul_resyn3,3.59,70512,sat-sweeping
64_64_U_SP_CWT_CL_GenMul_resyn3,30.69,91932,sat-sweeping
64_64_U_SP_CWT_KS_GenMul_resyn3,3.59,71048,sat-sweeping
64_64_U_SP_CWT_LF_GenMul_resyn3,3.29,70248,sat-sweeping
64_64_U_SP_CWT_RC_GenMul_resyn3,3.55,69324,sat-sweeping
64_64_U_SP_CWT_SE_GenMul_resyn3,0.87,25396,sat-sweeping
64_64_U_SP_DT_BK_GenMul_resyn3,2.76,27340,sat-sweeping
64_64_U_SP_DT_CK_GenMul_resyn3,2.39,26992,sat-sweeping
64_64_U_SP_DT_CL_GenMul_resyn3,4.29,106132,sat-sweeping
64_64_U_SP_DT_KS_GenMul_resyn3,3.83,79744,sat-sweeping
64_64_U_SP_DT_LF_GenMul_resyn3,2.91,72976,sat-sweeping
64_64_U_SP_DT_RC_GenMul_resyn3,2.00,29288,sat-sweeping
64_64_U_SP_DT_SE_GenMul_resyn3,0.83,26748,sat-sweeping
64_64_U_SP_WT_BK_GenMul_resyn3,2.94,78808,sat-sweeping
64_64_U_SP_WT_CK_GenMul_resyn3,3.30,76276,sat-sweeping
64_64_U_SP_WT_CL_GenMul_resyn3,4.61,103216,sat-sweeping
64_64_U_SP_WT_KS_GenMul_resyn3,3.96,80508,sat-sweeping
64_64_U_SP_WT_LF_GenMul_resyn3,3.47,78144,sat-sweeping
64_64_U_SP_WT_RC_GenMul_resyn3,2.74,73288,sat-sweeping
64_64_U_SP_WT_SE_GenMul_resyn3,0.91,27332,sat-sweeping
