File Name,Time (seconds),Memory (KB),Method
64_64_U1_4to2_BK_Multgen_resyn3,1.17,22060,sat-sweeping
64_64_U1_4to2_HCA_Multgen_resyn3,17.30,21352,kissat
64_64_U1_4to2_JCA_Multgen_resyn3,20.09,22144,kissat
64_64_U1_4to2_KS_Multgen_resyn3,23.26,25584,kissat
64_64_U1_4to2_LF_Multgen_resyn3,19.82,21844,kissat
64_64_U1_4to2_RC_Multgen_resyn3,0.46,31532,fraig
64_64_U1_DT_BK_Multgen_resyn3,25.64,26960,kissat
64_64_U1_DT_HCA_Multgen_resyn3,28.67,27228,kissat
64_64_U1_DT_JCA_Multgen_resyn3,29.74,26188,kissat
64_64_U1_DT_KS_Multgen_resyn3,26.98,29500,kissat
64_64_U1_DT_LF_Multgen_resyn3,18.62,28828,kissat
64_64_U1_DT_RC_Multgen_resyn3,0.62,35652,fraig
64_64_U1_WT_BK_Multgen_resyn3,21.20,29676,kissat
64_64_U1_WT_HCA_Multgen_resyn3,22.19,26288,kissat
64_64_U1_WT_JCA_Multgen_resyn3,19.36,29428,kissat
64_64_U1_WT_KS_Multgen_resyn3,42.56,28544,kissat
64_64_U1_WT_LF_Multgen_resyn3,32.40,29620,kissat
64_64_U1_WT_RC_Multgen_resyn3,30.77,29196,kissat
64_64_U2_4to2_BK_Multgen_resyn3,7.56,25276,sat-sweeping
64_64_U2_4to2_HCA_Multgen_resyn3,70.91,30804,kissat
64_64_U2_4to2_JCA_Multgen_resyn3,41.27,27392,kissat
64_64_U2_4to2_KS_Multgen_resyn3,113.87,40112,kissat
64_64_U2_4to2_LF_Multgen_resyn3,29.84,28716,kissat
64_64_U2_4to2_RC_Multgen_resyn3,0.35,35016,fraig
64_64_U2_DT_BK_Multgen_resyn3,30.87,29000,kissat
64_64_U2_DT_HCA_Multgen_resyn3,43.53,29316,kissat
64_64_U2_DT_JCA_Multgen_resyn3,43.45,27700,kissat
64_64_U2_DT_KS_Multgen_resyn3,89.66,37388,kissat
64_64_U2_DT_LF_Multgen_resyn3,72.79,29160,kissat
64_64_U2_DT_RC_Multgen_resyn3,0.43,39756,fraig
64_64_U2_WT_BK_Multgen_resyn3,49.79,30184,kissat
64_64_U2_WT_HCA_Multgen_resyn3,92.24,29260,kissat
64_64_U2_WT_JCA_Multgen_resyn3,78.86,30524,kissat
64_64_U2_WT_KS_Multgen_resyn3,91.28,39956,kissat
64_64_U2_WT_LF_Multgen_resyn3,71.05,29312,kissat
64_64_U2_WT_RC_Multgen_resyn3,34.68,40128,sat-sweeping
64_64_U_SP_AR_BK_GenMul_resyn3,8.73,27908,sat-sweeping
64_64_U_SP_AR_CK_GenMul_resyn3,1.71,40148,fraig
64_64_U_SP_AR_CL_GenMul_resyn3,4477.52,80432,kissat
64_64_U_SP_AR_KS_GenMul_resyn3,262.97,41516,sat-sweeping
64_64_U_SP_AR_LF_GenMul_resyn3,102.61,33008,sat-sweeping
64_64_U_SP_AR_RC_GenMul_resyn3,1.68,40132,fraig
64_64_U_SP_AR_SE_GenMul_resyn3,1.70,42220,fraig
64_64_U_SP_CWT_BK_GenMul_resyn3,31.01,30676,sat-sweeping
64_64_U_SP_CWT_CK_GenMul_resyn3,21.43,40688,sat-sweeping
64_64_U_SP_CWT_CL_GenMul_resyn3,265.82,48872,kissat
64_64_U_SP_CWT_KS_GenMul_resyn3,59.83,31568,kissat
64_64_U_SP_CWT_LF_GenMul_resyn3,42.71,27996,kissat
64_64_U_SP_CWT_RC_GenMul_resyn3,30.43,30044,kissat
64_64_U_SP_CWT_SE_GenMul_resyn3,0.49,38640,fraig
64_64_U_SP_DT_BK_GenMul_resyn3,7.34,27560,sat-sweeping
64_64_U_SP_DT_CK_GenMul_resyn3,0.68,38444,fraig
64_64_U_SP_DT_CL_GenMul_resyn3,183.25,50400,kissat
64_64_U_SP_DT_KS_GenMul_resyn3,27.68,26960,kissat
64_64_U_SP_DT_LF_GenMul_resyn3,27.45,28300,kissat
64_64_U_SP_DT_RC_GenMul_resyn3,0.51,38164,fraig
64_64_U_SP_DT_SE_GenMul_resyn3,0.40,29092,fraig
64_64_U_SP_WT_BK_GenMul_resyn3,26.79,30188,kissat
64_64_U_SP_WT_CK_GenMul_resyn3,22.07,41820,sat-sweeping
64_64_U_SP_WT_CL_GenMul_resyn3,110.88,41724,kissat
64_64_U_SP_WT_KS_GenMul_resyn3,45.03,29744,kissat
64_64_U_SP_WT_LF_GenMul_resyn3,31.95,28980,kissat
64_64_U_SP_WT_RC_GenMul_resyn3,18.38,35220,sat-sweeping
64_64_U_SP_WT_SE_GenMul_resyn3,0.69,36176,fraig
