File Name,Circuit Status,Time Overall,Memory Usage
256_256_U_SP_AR_RC_GenMul_dc2,correct,1640.95,1931396
256_256_U_SP_DT_SE_GenMul_dc2,correct,1641.09,1908184
256_256_U_SP_AR_SE_GenMul_dc2,correct,1735.75,1912236
256_256_U1_DT_RC_Multgen_dc2,correct,1990.5,1885352
256_256_U_SP_DT_RC_GenMul_dc2,correct,2041.88,1917096
256_256_U_SP_AR_BK_GenMul_dc2,correct,2874.94,1769280
256_256_U_SP_AR_LF_GenMul_dc2,correct,3263.28,1885208
256_256_U_SP_DT_CL_GenMul_dc2,AIG FILE MISSING,,MO
256_256_U_SP_AR_CL_GenMul_dc2,AIG FILE MISSING,,MO
256_256_U_SP_WT_CL_GenMul_dc2,AIG FILE MISSING,,MO
256_256_U_SP_DT_CK_GenMul_dc2,AIG FILE MISSING,,MO
256_256_U2_4to2_LF_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U2_WT_JCA_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U2_4to2_KS_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U2_4to2_JCA_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U1_WT_BK_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U2_4to2_HCA_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U2_WT_LF_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U_SP_WT_CK_GenMul_dc2,AIG FILE MISSING,,MO
256_256_U2_4to2_BK_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U2_4to2_RC_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U1_WT_HCA_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U1_4to2_RC_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U1_4to2_JCA_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U1_4to2_LF_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U_SP_WT_KS_GenMul_dc2,AIG FILE MISSING,,MO
256_256_U2_WT_KS_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U1_WT_KS_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U_SP_WT_LF_GenMul_dc2,AIG FILE MISSING,,MO
256_256_U_SP_AR_CK_GenMul_dc2,AIG FILE MISSING,,MO
256_256_U1_4to2_HCA_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U_SP_WT_BK_GenMul_dc2,AIG FILE MISSING,,MO
256_256_U1_WT_LF_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U2_WT_HCA_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U1_WT_JCA_Multgen_dc2,AIG FILE MISSING,,MO
256_256_U1_4to2_KS_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U1_4to2_BK_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U1_DT_HCA_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U_SP_CWT_KS_GenMul_dc2,AIG FILE MISSING,TO,
256_256_U_SP_WT_SE_GenMul_dc2,AIG FILE MISSING,TO,
256_256_U1_DT_KS_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U2_DT_KS_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U_SP_WT_RC_GenMul_dc2,AIG FILE MISSING,TO,
256_256_U2_DT_RC_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U_SP_CWT_RC_GenMul_dc2,AIG FILE MISSING,TO,
256_256_U_SP_CWT_SE_GenMul_dc2,AIG FILE MISSING,TO,
256_256_U1_WT_RC_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U_SP_AR_KS_GenMul_dc2,AIG FILE MISSING,TO,
256_256_U2_WT_BK_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U2_DT_JCA_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U_SP_CWT_CL_GenMul_dc2,AIG FILE MISSING,TO,
256_256_U2_DT_BK_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U1_DT_JCA_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U_SP_CWT_CK_GenMul_dc2,AIG FILE MISSING,TO,
256_256_U1_DT_LF_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U_SP_CWT_LF_GenMul_dc2,AIG FILE MISSING,TO,
256_256_U_SP_CWT_BK_GenMul_dc2,AIG FILE MISSING,TO,
256_256_U_SP_DT_KS_GenMul_dc2,AIG FILE MISSING,TO,
256_256_U2_DT_LF_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U1_DT_BK_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U2_DT_HCA_Multgen_dc2,AIG FILE MISSING,TO,
256_256_U_SP_DT_LF_GenMul_dc2,AIG FILE MISSING,TO,
256_256_U_SP_DT_BK_GenMul_dc2,AIG FILE MISSING,TO,
256_256_U2_WT_RC_Multgen_dc2,AIG FILE MISSING,TO,
