File Name,Circuit Status,Time Overall,Memory Usage
64_64_U1_DT_RC_Multgen_dc2_output,UNKNOWN,,32300
64_64_S1_DT_RC_Multgen_dc2_output,UNKNOWN,,32396
64_64_U1_DT_BK_Multgen_dc2_output,UNKNOWN,,32288
64_64_S1_WT_RC_Multgen_dc2_output,UNKNOWN,,33380
64_64_S1_DT_BK_Multgen_dc2_output,UNKNOWN,,32404
64_64_U1_WT_RC_Multgen_dc2_output,UNKNOWN,,33420
64_64_U1_WT_BK_Multgen_dc2_output,UNKNOWN,,98356
64_64_S1_WT_BK_Multgen_dc2_output,UNKNOWN,,36420
64_64_U1_4to2_BK_Multgen_dc2_output,UNKNOWN,,30492
64_64_S2_DT_RC_Multgen_dc2_output,UNKNOWN,,37204
64_64_U2_DT_RC_Multgen_dc2_output,UNKNOWN,,38220
64_64_U2_DT_BK_Multgen_dc2_output,UNKNOWN,,38076
64_64_U_SP_AR_BK_GenMul_dc2_output,UNKNOWN,,32700
64_64_S1_4to2_BK_Multgen_dc2_output,UNKNOWN,,30668
64_64_S2_DT_BK_Multgen_dc2_output,UNKNOWN,,37328
64_64_U2_4to2_BK_Multgen_dc2_output,UNKNOWN,,37416
64_64_U_SP_AR_SE_GenMul_dc2_output,UNKNOWN,,32804
64_64_S2_WT_RC_Multgen_dc2_output,UNKNOWN,,38344
64_64_U_SP_AR_RC_GenMul_dc2_output,UNKNOWN,,32736
64_64_U_SP_AR_LF_GenMul_dc2_output,UNKNOWN,,32636
64_64_S2_DT_JCA_Multgen_dc2_output,UNKNOWN,,54380
64_64_S2_DT_LF_Multgen_dc2_output,UNKNOWN,,54520
64_64_U_SP_AR_CK_GenMul_dc2_output,UNKNOWN,,90276
64_64_S2_4to2_BK_Multgen_dc2_output,UNKNOWN,,36976
64_64_S2_WT_BK_Multgen_dc2_output,UNKNOWN,,55692
64_64_U2_DT_LF_Multgen_dc2_output,UNKNOWN,,43796
64_64_U2_DT_JCA_Multgen_dc2_output,UNKNOWN,,43812
64_64_U1_DT_JCA_Multgen_dc2_output,UNKNOWN,,36992
64_64_U1_DT_LF_Multgen_dc2_output,UNKNOWN,,37004
64_64_U_SP_DT_BK_GenMul_dc2_output,UNKNOWN,,32612
64_64_U_SP_DT_RC_GenMul_dc2_output,UNKNOWN,,32204
64_64_U2_WT_BK_Multgen_dc2_output,UNKNOWN,,39244
64_64_U_SP_DT_SE_GenMul_dc2_output,UNKNOWN,,32228
64_64_U2_WT_RC_Multgen_dc2_output,UNKNOWN,,39504
64_64_S2_4to2_LF_Multgen_dc2_output,UNKNOWN,,79368
64_64_U_SP_WT_BK_GenMul_dc2_output,UNKNOWN,,33732
64_64_U_SP_WT_SE_GenMul_dc2_output,UNKNOWN,,33420
64_64_S2_4to2_JCA_Multgen_dc2_output,UNKNOWN,,79424
64_64_U_SP_WT_RC_GenMul_dc2_output,UNKNOWN,,33556
64_64_S_SP_AR_BK_GenMul_dc2_output,UNKNOWN,,32616
64_64_U_SP_CWT_SE_GenMul_dc2_output,UNKNOWN,,35456
64_64_S_SP_AR_CL_GenMul_dc2_output,UNKNOWN,,32756
64_64_S_SP_AR_KS_GenMul_dc2_output,UNKNOWN,,32724
64_64_S_SP_AR_LF_GenMul_dc2_output,UNKNOWN,,32628
64_64_S_SP_AR_RC_GenMul_dc2_output,UNKNOWN,,32764
64_64_S_SP_AR_SE_GenMul_dc2_output,UNKNOWN,,32756
64_64_U_SP_DT_LF_GenMul_dc2_output,UNKNOWN,,37356
64_64_U1_WT_LF_Multgen_dc2_output,UNKNOWN,,42980
64_64_U_SP_CWT_BK_GenMul_dc2_output,UNKNOWN,,39232
64_64_U1_WT_JCA_Multgen_dc2_output,UNKNOWN,,42988
64_64_S_SP_DT_BK_GenMul_dc2_output,UNKNOWN,,32560
64_64_U_SP_CWT_RC_GenMul_dc2_output,UNKNOWN,,37916
64_64_S1_DT_JCA_Multgen_dc2_output,UNKNOWN,,77832
64_64_S_SP_CWT_SE_GenMul_dc2_output,UNKNOWN,,37700
64_64_S1_DT_LF_Multgen_dc2_output,UNKNOWN,,77892
64_64_S_SP_DT_SE_GenMul_dc2_output,UNKNOWN,,32292
64_64_S_SP_DT_RC_GenMul_dc2_output,UNKNOWN,,32240
64_64_S_SP_WT_BK_GenMul_dc2_output,UNKNOWN,,205160
64_64_S_SP_CWT_BK_GenMul_dc2_output,UNKNOWN,,41780
64_64_S2_DT_HCA_Multgen_dc2_output,UNKNOWN,,80452
64_64_S_SP_WT_RC_GenMul_dc2_output,UNKNOWN,,33672
64_64_U2_WT_JCA_Multgen_dc2_output,UNKNOWN,,80316
64_64_S_SP_WT_SE_GenMul_dc2_output,UNKNOWN,,33632
64_64_U2_WT_LF_Multgen_dc2_output,UNKNOWN,,80364
64_64_S_SP_DT_LF_GenMul_dc2_output,UNKNOWN,,40772
64_64_S1_DT_HCA_Multgen_dc2_output,UNKNOWN,,170072
64_64_U_SP_CWT_LF_GenMul_dc2_output,UNKNOWN,,114252
64_64_S_SP_CWT_LF_GenMul_dc2_output,UNKNOWN,,176300
64_64_U2_DT_HCA_Multgen_dc2_output,UNKNOWN,,687948
64_64_S_SP_WT_CK_GenMul_dc2_output,UNKNOWN,,5129320
64_64_U_SP_DT_CK_GenMul_dc2_output,UNKNOWN,,6206760
64_64_S_SP_DT_CK_GenMul_dc2_output,UNKNOWN,,6708048
64_64_S_SP_CWT_RC_GenMul_dc2_output,UNKNOWN,,99660
