filename,time
64_64_U1_WT_LF_Multgen_compress2rs.result,28.14
64_64_U1_DT_HCA_Multgen_compress2rs.result,28.34
64_64_U1_WT_JCA_Multgen_compress2rs.result,29.55
64_64_U1_DT_LF_Multgen_compress2rs.result,29.93
64_64_U_SP_DT_RC_GenMul_compress2rs.result,31.78
64_64_U1_WT_HCA_Multgen_compress2rs.result,33.00
64_64_U_SP_DT_SE_GenMul_compress2rs.result,34.15
64_64_U_SP_WT_LF_GenMul_compress2rs.result,35.96
64_64_U_SP_DT_LF_GenMul_compress2rs.result,36.23
64_64_U_SP_CWT_RC_GenMul_compress2rs.result,36.62
64_64_U1_DT_JCA_Multgen_compress2rs.result,37.09
64_64_U_SP_DT_CK_GenMul_compress2rs.result,38.65
64_64_U1_WT_RC_Multgen_compress2rs.result,39.34
64_64_U_SP_DT_BK_GenMul_compress2rs.result,39.35
64_64_U1_DT_KS_Multgen_compress2rs.result,40.58
64_64_U1_DT_BK_Multgen_compress2rs.result,40.66
64_64_U1_WT_BK_Multgen_compress2rs.result,43.41
64_64_U1_WT_KS_Multgen_compress2rs.result,43.86
64_64_U_SP_WT_KS_GenMul_compress2rs.result,43.98
64_64_U_SP_WT_CK_GenMul_compress2rs.result,44.34
64_64_U_SP_CWT_CK_GenMul_compress2rs.result,47.01
64_64_U_SP_CWT_BK_GenMul_compress2rs.result,49.53
64_64_U_SP_DT_KS_GenMul_compress2rs.result,52.19
64_64_U_SP_WT_RC_GenMul_compress2rs.result,52.53
64_64_U_SP_WT_SE_GenMul_compress2rs.result,54.20
64_64_U_SP_CWT_LF_GenMul_compress2rs.result,56.39
64_64_U_SP_CWT_SE_GenMul_compress2rs.result,56.52
64_64_U1_DT_RC_Multgen_compress2rs.result,61.05
64_64_U_SP_WT_CL_GenMul_compress2rs.result,66.46
64_64_U_SP_CWT_KS_GenMul_compress2rs.result,69.09
64_64_U_SP_CWT_CL_GenMul_compress2rs.result,87.78
64_64_U_SP_DT_CL_GenMul_compress2rs.result,91.78
64_64_U_SP_WT_BK_GenMul_compress2rs.result,112.94
64_64_U2_DT_KS_Multgen_compress2rs.result,124.88
64_64_U2_DT_JCA_Multgen_compress2rs.result,131.53
64_64_U2_DT_HCA_Multgen_compress2rs.result,141.45
64_64_U2_DT_LF_Multgen_compress2rs.result,142.51
64_64_U2_DT_BK_Multgen_compress2rs.result,144.81
64_64_U2_DT_RC_Multgen_compress2rs.result,150.42
64_64_U2_WT_RC_Multgen_compress2rs.result,169.67
64_64_U2_WT_KS_Multgen_compress2rs.result,177.35
64_64_U2_WT_BK_Multgen_compress2rs.result,181.53
64_64_U2_WT_HCA_Multgen_compress2rs.result,183.72
64_64_U2_WT_JCA_Multgen_compress2rs.result,186.67
64_64_U2_WT_LF_Multgen_compress2rs.result,195.05
64_64_U1_4to2_JCA_Multgen_compress2rs.result,308.76
64_64_U1_4to2_LF_Multgen_compress2rs.result,310.94
64_64_U1_4to2_RC_Multgen_compress2rs.result,342.89
64_64_U1_4to2_HCA_Multgen_compress2rs.result,351.64
64_64_U1_4to2_KS_Multgen_compress2rs.result,360.95
64_64_U1_4to2_BK_Multgen_compress2rs.result,378.23
64_64_U2_4to2_HCA_Multgen_compress2rs.result,661.90
64_64_U2_4to2_LF_Multgen_compress2rs.result,679.02
64_64_U2_4to2_BK_Multgen_compress2rs.result,685.29
64_64_U2_4to2_JCA_Multgen_compress2rs.result,687.94
64_64_U2_4to2_RC_Multgen_compress2rs.result,715.50
64_64_U2_4to2_KS_Multgen_compress2rs.result,730.15
64_64_U_SP_AR_CL_GenMul_compress2rs.result,TO
64_64_U_SP_AR_LF_GenMul_compress2rs.result,TO
64_64_U_SP_AR_SE_GenMul_compress2rs.result,TO
64_64_U_SP_AR_KS_GenMul_compress2rs.result,TO
64_64_U_SP_AR_RC_GenMul_compress2rs.result,TO
64_64_U_SP_AR_BK_GenMul_compress2rs.result,TO
64_64_U_SP_AR_CK_GenMul_compress2rs.result,TO
