filename,time
64_64_U_SP_AR_BK_GenMul_dc2.result,5.78
64_64_U_SP_AR_LF_GenMul_dc2.result,6.50
64_64_U_SP_AR_CL_GenMul_dc2.result,6.67
64_64_U_SP_AR_SE_GenMul_dc2.result,7.25
64_64_U_SP_AR_RC_GenMul_dc2.result,7.81
64_64_U_SP_AR_KS_GenMul_dc2.result,7.87
64_64_U_SP_AR_CK_GenMul_dc2.result,8.14
64_64_U1_DT_BK_Multgen_dc2.result,20.91
64_64_U1_DT_RC_Multgen_dc2.result,21.48
64_64_U1_WT_BK_Multgen_dc2.result,21.86
64_64_U_SP_DT_SE_GenMul_dc2.result,21.86
64_64_U1_WT_HCA_Multgen_dc2.result,22.04
64_64_U_SP_CWT_CK_GenMul_dc2.result,22.13
64_64_U_SP_CWT_RC_GenMul_dc2.result,22.62
64_64_U1_DT_HCA_Multgen_dc2.result,23.11
64_64_U1_WT_KS_Multgen_dc2.result,23.17
64_64_U1_WT_JCA_Multgen_dc2.result,23.37
64_64_U_SP_WT_CK_GenMul_dc2.result,23.54
64_64_U_SP_DT_BK_GenMul_dc2.result,23.77
64_64_U_SP_WT_RC_GenMul_dc2.result,23.97
64_64_U1_WT_LF_Multgen_dc2.result,24.16
64_64_U1_DT_LF_Multgen_dc2.result,24.75
64_64_U_SP_DT_CL_GenMul_dc2.result,25.29
64_64_U_SP_DT_CK_GenMul_dc2.result,25.75
64_64_U_SP_WT_LF_GenMul_dc2.result,25.89
64_64_U1_DT_KS_Multgen_dc2.result,25.95
64_64_U_SP_DT_LF_GenMul_dc2.result,26.31
64_64_U_SP_CWT_SE_GenMul_dc2.result,27.04
64_64_U_SP_WT_SE_GenMul_dc2.result,27.11
64_64_U_SP_CWT_BK_GenMul_dc2.result,27.36
64_64_U_SP_DT_RC_GenMul_dc2.result,28.24
64_64_U_SP_CWT_KS_GenMul_dc2.result,28.47
64_64_U1_DT_JCA_Multgen_dc2.result,28.72
64_64_U_SP_WT_BK_GenMul_dc2.result,28.91
64_64_U_SP_CWT_LF_GenMul_dc2.result,29.15
64_64_U_SP_WT_CL_GenMul_dc2.result,30.24
64_64_U_SP_DT_KS_GenMul_dc2.result,30.29
64_64_U1_WT_RC_Multgen_dc2.result,30.51
64_64_U_SP_WT_KS_GenMul_dc2.result,31.11
64_64_U_SP_CWT_CL_GenMul_dc2.result,37.47
64_64_U2_DT_BK_Multgen_dc2.result,37.81
64_64_U2_DT_HCA_Multgen_dc2.result,39.84
64_64_U2_DT_JCA_Multgen_dc2.result,39.86
64_64_U2_DT_RC_Multgen_dc2.result,40.75
64_64_U2_DT_LF_Multgen_dc2.result,42.41
64_64_U2_WT_BK_Multgen_dc2.result,43.90
64_64_U2_WT_HCA_Multgen_dc2.result,50.23
64_64_U2_DT_KS_Multgen_dc2.result,50.63
64_64_U2_WT_LF_Multgen_dc2.result,55.05
64_64_U2_WT_JCA_Multgen_dc2.result,56.48
64_64_U2_WT_KS_Multgen_dc2.result,57.52
64_64_U2_WT_RC_Multgen_dc2.result,59.15
64_64_U1_4to2_HCA_Multgen_dc2.result,241.29
64_64_U1_4to2_BK_Multgen_dc2.result,246.89
64_64_U1_4to2_LF_Multgen_dc2.result,263.35
64_64_U1_4to2_JCA_Multgen_dc2.result,264.92
64_64_U1_4to2_RC_Multgen_dc2.result,267.79
64_64_U1_4to2_KS_Multgen_dc2.result,283.66
64_64_U2_4to2_RC_Multgen_dc2.result,396.22
64_64_U2_4to2_HCA_Multgen_dc2.result,426.67
64_64_U2_4to2_BK_Multgen_dc2.result,537.70
64_64_U2_4to2_KS_Multgen_dc2.result,594.49
64_64_U2_4to2_JCA_Multgen_dc2.result,615.04
64_64_U2_4to2_LF_Multgen_dc2.result,625.80
