filename,time
64_64_U_SP_AR_BK_GenMul_dc2.result,5.39
64_64_U_SP_AR_KS_GenMul_dc2.result,7.31
64_64_U_SP_AR_RC_GenMul_dc2.result,7.38
64_64_U_SP_AR_CK_GenMul_dc2.result,7.81
64_64_U_SP_AR_SE_GenMul_dc2.result,8.16
64_64_U_SP_AR_CL_GenMul_dc2.result,8.62
64_64_U_SP_AR_LF_GenMul_dc2.result,8.97
64_64_U1_WT_HCA_Multgen_dc2.result,17.80
64_64_U1_DT_HCA_Multgen_dc2.result,18.11
64_64_U1_DT_BK_Multgen_dc2.result,18.52
64_64_U_SP_WT_RC_GenMul_dc2.result,18.75
64_64_U1_WT_KS_Multgen_dc2.result,18.84
64_64_U_SP_CWT_RC_GenMul_dc2.result,19.19
64_64_U1_WT_BK_Multgen_dc2.result,19.34
64_64_U1_DT_KS_Multgen_dc2.result,19.84
64_64_U_SP_DT_SE_GenMul_dc2.result,20.25
64_64_U_SP_WT_CK_GenMul_dc2.result,20.30
64_64_U1_DT_LF_Multgen_dc2.result,20.64
64_64_U1_WT_JCA_Multgen_dc2.result,20.68
64_64_U_SP_CWT_BK_GenMul_dc2.result,21.17
64_64_U_SP_WT_SE_GenMul_dc2.result,21.46
64_64_U1_DT_JCA_Multgen_dc2.result,21.55
64_64_U_SP_CWT_KS_GenMul_dc2.result,23.11
64_64_U1_DT_RC_Multgen_dc2.result,23.91
64_64_U1_WT_RC_Multgen_dc2.result,25.18
64_64_U_SP_DT_BK_GenMul_dc2.result,25.43
64_64_U_SP_DT_CK_GenMul_dc2.result,25.59
64_64_U_SP_DT_LF_GenMul_dc2.result,25.66
64_64_U_SP_WT_LF_GenMul_dc2.result,25.74
64_64_U_SP_CWT_LF_GenMul_dc2.result,27.33
64_64_U1_WT_LF_Multgen_dc2.result,27.43
64_64_U_SP_DT_RC_GenMul_dc2.result,27.49
64_64_U_SP_DT_CL_GenMul_dc2.result,27.61
64_64_U_SP_CWT_CK_GenMul_dc2.result,27.95
64_64_U_SP_CWT_SE_GenMul_dc2.result,27.97
64_64_U_SP_WT_BK_GenMul_dc2.result,29.29
64_64_U_SP_WT_CL_GenMul_dc2.result,29.76
64_64_U_SP_WT_KS_GenMul_dc2.result,31.29
64_64_U_SP_CWT_CL_GenMul_dc2.result,31.60
64_64_U_SP_DT_KS_GenMul_dc2.result,31.98
64_64_U2_DT_JCA_Multgen_dc2.result,36.29
64_64_U2_DT_RC_Multgen_dc2.result,36.86
64_64_U2_DT_BK_Multgen_dc2.result,38.46
64_64_U2_DT_LF_Multgen_dc2.result,39.23
64_64_U2_WT_BK_Multgen_dc2.result,40.04
64_64_U2_DT_HCA_Multgen_dc2.result,41.18
64_64_U2_DT_KS_Multgen_dc2.result,46.48
64_64_U2_WT_HCA_Multgen_dc2.result,51.08
64_64_U2_WT_JCA_Multgen_dc2.result,51.83
64_64_U2_WT_RC_Multgen_dc2.result,53.09
64_64_U2_WT_LF_Multgen_dc2.result,53.16
64_64_U2_WT_KS_Multgen_dc2.result,59.46
64_64_U1_4to2_BK_Multgen_dc2.result,223.62
64_64_U1_4to2_HCA_Multgen_dc2.result,225.70
64_64_U1_4to2_JCA_Multgen_dc2.result,238.91
64_64_U1_4to2_RC_Multgen_dc2.result,241.56
64_64_U1_4to2_KS_Multgen_dc2.result,255.08
64_64_U1_4to2_LF_Multgen_dc2.result,275.02
64_64_U2_4to2_RC_Multgen_dc2.result,443.33
64_64_U2_4to2_HCA_Multgen_dc2.result,469.87
64_64_U2_4to2_BK_Multgen_dc2.result,501.87
64_64_U2_4to2_KS_Multgen_dc2.result,574.16
64_64_U2_4to2_JCA_Multgen_dc2.result,673.74
64_64_U2_4to2_LF_Multgen_dc2.result,679.88
