filename,time
64_64_U1_DT_RC_Multgen_lazyman.result,551.02
64_64_U1_DT_BK_Multgen_lazyman.result,564.75
64_64_U1_DT_HCA_Multgen_lazyman.result,577.87
64_64_U1_DT_JCA_Multgen_lazyman.result,608.63
64_64_U_SP_DT_CK_GenMul_lazyman.result,610.90
64_64_U_SP_DT_CL_GenMul_lazyman.result,623.05
64_64_U1_DT_KS_Multgen_lazyman.result,658.02
64_64_U1_DT_LF_Multgen_lazyman.result,658.98
64_64_U1_WT_JCA_Multgen_lazyman.result,706.73
64_64_U_SP_WT_BK_GenMul_lazyman.result,711.76
64_64_U_SP_DT_RC_GenMul_lazyman.result,738.92
64_64_U_SP_DT_KS_GenMul_lazyman.result,747.24
64_64_U_SP_DT_SE_GenMul_lazyman.result,755.04
64_64_U1_WT_RC_Multgen_lazyman.result,763.23
64_64_U_SP_WT_KS_GenMul_lazyman.result,789.42
64_64_U_SP_DT_BK_GenMul_lazyman.result,835.89
64_64_U1_WT_HCA_Multgen_lazyman.result,842.99
64_64_U_SP_WT_SE_GenMul_lazyman.result,850.68
64_64_U1_WT_LF_Multgen_lazyman.result,871.93
64_64_U_SP_DT_LF_GenMul_lazyman.result,879.27
64_64_U1_WT_BK_Multgen_lazyman.result,885.06
64_64_U_SP_WT_CL_GenMul_lazyman.result,889.91
64_64_U1_WT_KS_Multgen_lazyman.result,893.02
64_64_U_SP_WT_RC_GenMul_lazyman.result,902.94
64_64_U_SP_WT_CK_GenMul_lazyman.result,932.41
64_64_U_SP_WT_LF_GenMul_lazyman.result,974.83
64_64_U_SP_CWT_RC_GenMul_lazyman.result,1296.07
64_64_U_SP_CWT_SE_GenMul_lazyman.result,1435.53
64_64_U_SP_CWT_BK_GenMul_lazyman.result,1439.47
64_64_U_SP_CWT_LF_GenMul_lazyman.result,1495.58
64_64_U_SP_CWT_CK_GenMul_lazyman.result,1499.25
64_64_U2_DT_HCA_Multgen_lazyman.result,1539.88
64_64_U2_DT_LF_Multgen_lazyman.result,1588.41
64_64_U2_DT_RC_Multgen_lazyman.result,1590.30
64_64_U2_DT_KS_Multgen_lazyman.result,1632.67
64_64_U2_DT_BK_Multgen_lazyman.result,1651.36
64_64_U2_DT_JCA_Multgen_lazyman.result,1748.55
64_64_U_SP_CWT_KS_GenMul_lazyman.result,1773.68
64_64_U_SP_CWT_CL_GenMul_lazyman.result,1820.87
64_64_U2_WT_HCA_Multgen_lazyman.result,1970.54
64_64_U2_WT_LF_Multgen_lazyman.result,2039.56
64_64_U2_WT_JCA_Multgen_lazyman.result,2149.47
64_64_U2_WT_RC_Multgen_lazyman.result,2153.85
64_64_U2_WT_BK_Multgen_lazyman.result,2171.51
64_64_U2_WT_KS_Multgen_lazyman.result,2265.30
64_64_U1_4to2_KS_Multgen_lazyman.result,5744.76
64_64_U1_4to2_HCA_Multgen_lazyman.result,6697.87
64_64_U1_4to2_JCA_Multgen_lazyman.result,7008.37
64_64_U1_4to2_LF_Multgen_lazyman.result,7011.18
64_64_U1_4to2_BK_Multgen_lazyman.result,7034.21
64_64_U1_4to2_RC_Multgen_lazyman.result,7157.73
64_64_U2_4to2_HCA_Multgen_lazyman.result,TO
64_64_U2_4to2_LF_Multgen_lazyman.result,TO
64_64_U2_4to2_JCA_Multgen_lazyman.result,TO
64_64_U2_4to2_KS_Multgen_lazyman.result,TO
64_64_U2_4to2_BK_Multgen_lazyman.result,TO
64_64_U_SP_AR_CK_GenMul_lazyman.result,TO
64_64_U2_4to2_RC_Multgen_lazyman.result,TO
64_64_U_SP_AR_BK_GenMul_lazyman.result,TO
64_64_U_SP_AR_CL_GenMul_lazyman.result,TO
64_64_U_SP_AR_KS_GenMul_lazyman.result,TO
64_64_U_SP_AR_RC_GenMul_lazyman.result,TO
64_64_U_SP_AR_SE_GenMul_lazyman.result,TO
64_64_U_SP_AR_LF_GenMul_lazyman.result,TO
