filename,time
64_64_U1_DT_JCA_Multgen_mfs.result,24.51
64_64_U1_DT_LF_Multgen_mfs.result,26.05
64_64_U1_DT_HCA_Multgen_mfs.result,27.22
64_64_U_SP_DT_CL_GenMul_mfs.result,28.53
64_64_U_SP_DT_LF_GenMul_mfs.result,30.27
64_64_U1_DT_BK_Multgen_mfs.result,30.45
64_64_U1_DT_RC_Multgen_mfs.result,30.76
64_64_U1_WT_LF_Multgen_mfs.result,30.84
64_64_U1_WT_BK_Multgen_mfs.result,33.12
64_64_U1_WT_RC_Multgen_mfs.result,33.86
64_64_U_SP_DT_BK_GenMul_mfs.result,37.13
64_64_U_SP_DT_SE_GenMul_mfs.result,39.11
64_64_U_SP_DT_CK_GenMul_mfs.result,39.38
64_64_U1_WT_JCA_Multgen_mfs.result,39.91
64_64_U_SP_DT_KS_GenMul_mfs.result,40.21
64_64_U1_WT_HCA_Multgen_mfs.result,40.78
64_64_U1_DT_KS_Multgen_mfs.result,41.89
64_64_U_SP_WT_RC_GenMul_mfs.result,43.13
64_64_U_SP_WT_BK_GenMul_mfs.result,44.44
64_64_U_SP_DT_RC_GenMul_mfs.result,45.83
64_64_U_SP_WT_CK_GenMul_mfs.result,46.47
64_64_U_SP_WT_KS_GenMul_mfs.result,47.45
64_64_U_SP_WT_LF_GenMul_mfs.result,48.98
64_64_U_SP_WT_SE_GenMul_mfs.result,59.36
64_64_U_SP_WT_CL_GenMul_mfs.result,60.61
64_64_U1_WT_KS_Multgen_mfs.result,62.70
64_64_U_SP_CWT_SE_GenMul_mfs.result,79.71
64_64_U2_DT_BK_Multgen_mfs.result,92.31
64_64_U2_DT_HCA_Multgen_mfs.result,95.25
64_64_U_SP_CWT_CK_GenMul_mfs.result,96.30
64_64_U2_DT_JCA_Multgen_mfs.result,96.52
64_64_U_SP_CWT_RC_GenMul_mfs.result,99.38
64_64_U2_WT_BK_Multgen_mfs.result,105.70
64_64_U2_DT_RC_Multgen_mfs.result,106.24
64_64_U2_WT_RC_Multgen_mfs.result,106.74
64_64_U_SP_CWT_LF_GenMul_mfs.result,107.42
64_64_U2_WT_HCA_Multgen_mfs.result,110.69
64_64_U2_DT_LF_Multgen_mfs.result,111.43
64_64_U_SP_CWT_BK_GenMul_mfs.result,113.27
64_64_U_SP_CWT_KS_GenMul_mfs.result,117.75
64_64_U_SP_CWT_CL_GenMul_mfs.result,119.77
64_64_U2_WT_JCA_Multgen_mfs.result,123.40
64_64_U2_WT_LF_Multgen_mfs.result,127.32
64_64_U2_DT_KS_Multgen_mfs.result,128.26
64_64_U2_WT_KS_Multgen_mfs.result,130.13
64_64_U1_4to2_LF_Multgen_mfs.result,277.59
64_64_U1_4to2_JCA_Multgen_mfs.result,278.54
64_64_U1_4to2_BK_Multgen_mfs.result,280.47
64_64_U1_4to2_KS_Multgen_mfs.result,304.06
64_64_U1_4to2_HCA_Multgen_mfs.result,313.63
64_64_U1_4to2_RC_Multgen_mfs.result,324.09
64_64_U2_4to2_BK_Multgen_mfs.result,384.39
64_64_U2_4to2_HCA_Multgen_mfs.result,389.30
64_64_U2_4to2_JCA_Multgen_mfs.result,390.29
64_64_U2_4to2_LF_Multgen_mfs.result,394.72
64_64_U2_4to2_KS_Multgen_mfs.result,400.19
64_64_U2_4to2_RC_Multgen_mfs.result,421.80
64_64_U_SP_AR_KS_GenMul_mfs.result,TO
64_64_U_SP_AR_CK_GenMul_mfs.result,TO
64_64_U_SP_AR_BK_GenMul_mfs.result,TO
64_64_U_SP_AR_SE_GenMul_mfs.result,TO
64_64_U_SP_AR_LF_GenMul_mfs.result,TO
64_64_U_SP_AR_RC_GenMul_mfs.result,TO
64_64_U_SP_AR_CL_GenMul_mfs.result,TO
