filename,time
64_64_U1_4to2_BK_Multgen_resyn3.result,7.81
64_64_U1_4to2_RC_Multgen_resyn3.result,10.19
64_64_U1_4to2_LF_Multgen_resyn3.result,11.28
64_64_U1_DT_RC_Multgen_resyn3.result,12.56
64_64_U1_4to2_JCA_Multgen_resyn3.result,14.49
64_64_U1_4to2_KS_Multgen_resyn3.result,14.78
64_64_U1_4to2_HCA_Multgen_resyn3.result,14.79
64_64_U_SP_DT_RC_GenMul_resyn3.result,15.16
64_64_U1_WT_BK_Multgen_resyn3.result,16.12
64_64_U_SP_DT_BK_GenMul_resyn3.result,16.56
64_64_U_SP_WT_BK_GenMul_resyn3.result,16.66
64_64_U1_DT_JCA_Multgen_resyn3.result,19.22
64_64_U1_DT_HCA_Multgen_resyn3.result,20.81
64_64_U_SP_CWT_RC_GenMul_resyn3.result,21.21
64_64_U1_DT_BK_Multgen_resyn3.result,21.56
64_64_U_SP_DT_LF_GenMul_resyn3.result,21.77
64_64_U_SP_DT_CK_GenMul_resyn3.result,22.26
64_64_U1_WT_RC_Multgen_resyn3.result,22.46
64_64_U_SP_WT_RC_GenMul_resyn3.result,22.92
64_64_U2_4to2_LF_Multgen_resyn3.result,23.89
64_64_U_SP_WT_CK_GenMul_resyn3.result,24.04
64_64_U_SP_WT_SE_GenMul_resyn3.result,24.84
64_64_U1_DT_LF_Multgen_resyn3.result,24.85
64_64_U_SP_DT_SE_GenMul_resyn3.result,24.86
64_64_U_SP_CWT_BK_GenMul_resyn3.result,24.91
64_64_U1_WT_JCA_Multgen_resyn3.result,25.78
64_64_U1_WT_HCA_Multgen_resyn3.result,25.78
64_64_U_SP_WT_LF_GenMul_resyn3.result,26.47
64_64_U1_WT_LF_Multgen_resyn3.result,26.77
64_64_U2_4to2_JCA_Multgen_resyn3.result,27.85
64_64_U_SP_DT_KS_GenMul_resyn3.result,28.51
64_64_U_SP_CWT_SE_GenMul_resyn3.result,28.94
64_64_U1_WT_KS_Multgen_resyn3.result,28.95
64_64_U2_DT_RC_Multgen_resyn3.result,30.08
64_64_U_SP_WT_KS_GenMul_resyn3.result,30.44
64_64_U_SP_CWT_LF_GenMul_resyn3.result,30.64
64_64_U1_DT_KS_Multgen_resyn3.result,30.68
64_64_U2_DT_BK_Multgen_resyn3.result,30.87
64_64_U_SP_CWT_CK_GenMul_resyn3.result,32.77
64_64_U_SP_CWT_KS_GenMul_resyn3.result,33.93
64_64_U2_DT_HCA_Multgen_resyn3.result,35.72
64_64_U2_4to2_RC_Multgen_resyn3.result,36.82
64_64_U2_DT_LF_Multgen_resyn3.result,37.20
64_64_U2_WT_BK_Multgen_resyn3.result,37.88
64_64_U2_4to2_HCA_Multgen_resyn3.result,40.13
64_64_U2_DT_JCA_Multgen_resyn3.result,40.27
64_64_U2_4to2_BK_Multgen_resyn3.result,42.27
64_64_U2_WT_RC_Multgen_resyn3.result,42.74
64_64_U2_WT_HCA_Multgen_resyn3.result,47.23
64_64_U2_WT_JCA_Multgen_resyn3.result,50.90
64_64_U2_WT_LF_Multgen_resyn3.result,53.73
64_64_U2_WT_KS_Multgen_resyn3.result,57.33
64_64_U2_4to2_KS_Multgen_resyn3.result,73.70
64_64_U2_DT_KS_Multgen_resyn3.result,81.87
64_64_U_SP_WT_CL_GenMul_resyn3.result,105.39
64_64_U_SP_DT_CL_GenMul_resyn3.result,105.89
64_64_U_SP_CWT_CL_GenMul_resyn3.result,153.11
64_64_U_SP_AR_CK_GenMul_resyn3.result,1021.04
64_64_U_SP_AR_LF_GenMul_resyn3.result,1035.98
64_64_U_SP_AR_SE_GenMul_resyn3.result,1137.93
64_64_U_SP_AR_RC_GenMul_resyn3.result,1298.16
64_64_U_SP_AR_CL_GenMul_resyn3.result,1455.53
64_64_U_SP_AR_KS_GenMul_resyn3.result,1530.01
64_64_U_SP_AR_BK_GenMul_resyn3.result,1605.47
