filename,time
64_64_U1_4to2_BK_Multgen_resyn3.result,7.28
64_64_U1_4to2_RC_Multgen_resyn3.result,10.20
64_64_U1_4to2_JCA_Multgen_resyn3.result,11.13
64_64_U1_4to2_LF_Multgen_resyn3.result,11.13
64_64_U1_4to2_HCA_Multgen_resyn3.result,11.61
64_64_U1_4to2_KS_Multgen_resyn3.result,15.41
64_64_U1_DT_RC_Multgen_resyn3.result,15.99
64_64_U1_DT_LF_Multgen_resyn3.result,17.15
64_64_U_SP_DT_SE_GenMul_resyn3.result,17.88
64_64_U_SP_DT_CK_GenMul_resyn3.result,17.91
64_64_U_SP_WT_RC_GenMul_resyn3.result,18.50
64_64_U1_WT_BK_Multgen_resyn3.result,19.62
64_64_U1_DT_JCA_Multgen_resyn3.result,20.07
64_64_U_SP_DT_RC_GenMul_resyn3.result,20.12
64_64_U1_DT_BK_Multgen_resyn3.result,20.56
64_64_U1_DT_HCA_Multgen_resyn3.result,21.44
64_64_U1_WT_RC_Multgen_resyn3.result,22.21
64_64_U_SP_WT_BK_GenMul_resyn3.result,22.72
64_64_U_SP_DT_BK_GenMul_resyn3.result,22.83
64_64_U2_4to2_LF_Multgen_resyn3.result,23.70
64_64_U_SP_CWT_RC_GenMul_resyn3.result,23.88
64_64_U_SP_DT_LF_GenMul_resyn3.result,24.68
64_64_U1_WT_HCA_Multgen_resyn3.result,24.79
64_64_U_SP_WT_SE_GenMul_resyn3.result,24.81
64_64_U1_DT_KS_Multgen_resyn3.result,25.94
64_64_U_SP_WT_CK_GenMul_resyn3.result,26.36
64_64_U_SP_WT_LF_GenMul_resyn3.result,26.89
64_64_U1_WT_JCA_Multgen_resyn3.result,27.50
64_64_U1_WT_LF_Multgen_resyn3.result,28.77
64_64_U_SP_CWT_BK_GenMul_resyn3.result,29.41
64_64_U2_DT_RC_Multgen_resyn3.result,30.68
64_64_U_SP_CWT_SE_GenMul_resyn3.result,30.73
64_64_U_SP_CWT_LF_GenMul_resyn3.result,31.22
64_64_U2_DT_HCA_Multgen_resyn3.result,31.57
64_64_U_SP_DT_KS_GenMul_resyn3.result,32.00
64_64_U2_4to2_JCA_Multgen_resyn3.result,32.11
64_64_U_SP_WT_KS_GenMul_resyn3.result,34.20
64_64_U2_DT_BK_Multgen_resyn3.result,34.87
64_64_U_SP_CWT_CK_GenMul_resyn3.result,36.53
64_64_U1_WT_KS_Multgen_resyn3.result,36.72
64_64_U2_4to2_RC_Multgen_resyn3.result,38.36
64_64_U2_WT_BK_Multgen_resyn3.result,38.95
64_64_U_SP_CWT_KS_GenMul_resyn3.result,41.78
64_64_U2_DT_JCA_Multgen_resyn3.result,42.80
64_64_U2_WT_RC_Multgen_resyn3.result,43.56
64_64_U2_DT_LF_Multgen_resyn3.result,43.63
64_64_U2_4to2_HCA_Multgen_resyn3.result,44.32
64_64_U2_4to2_BK_Multgen_resyn3.result,50.62
64_64_U2_WT_HCA_Multgen_resyn3.result,53.96
64_64_U2_WT_LF_Multgen_resyn3.result,54.40
64_64_U2_WT_JCA_Multgen_resyn3.result,55.33
64_64_U2_WT_KS_Multgen_resyn3.result,60.68
64_64_U2_4to2_KS_Multgen_resyn3.result,85.13
64_64_U2_DT_KS_Multgen_resyn3.result,92.57
64_64_U_SP_DT_CL_GenMul_resyn3.result,112.00
64_64_U_SP_WT_CL_GenMul_resyn3.result,114.42
64_64_U_SP_CWT_CL_GenMul_resyn3.result,174.30
64_64_U_SP_AR_CK_GenMul_resyn3.result,1080.94
64_64_U_SP_AR_LF_GenMul_resyn3.result,1105.79
64_64_U_SP_AR_SE_GenMul_resyn3.result,1256.83
64_64_U_SP_AR_RC_GenMul_resyn3.result,1472.51
64_64_U_SP_AR_CL_GenMul_resyn3.result,1612.11
64_64_U_SP_AR_KS_GenMul_resyn3.result,1614.29
64_64_U_SP_AR_BK_GenMul_resyn3.result,1708.86
