filename,time
64_64_U_SP_DT_SE_GenMul_sopb.result,20.17
64_64_U1_DT_LF_Multgen_sopb.result,24.08
64_64_U_SP_WT_LF_GenMul_sopb.result,24.42
64_64_U_SP_CWT_SE_GenMul_sopb.result,25.28
64_64_U_SP_CWT_RC_GenMul_sopb.result,26.65
64_64_U_SP_CWT_CK_GenMul_sopb.result,29.41
64_64_U1_WT_RC_Multgen_sopb.result,29.53
64_64_U1_DT_RC_Multgen_sopb.result,31.61
64_64_U_SP_DT_BK_GenMul_sopb.result,32.05
64_64_U_SP_CWT_BK_GenMul_sopb.result,33.26
64_64_U_SP_DT_CK_GenMul_sopb.result,34.18
64_64_U_SP_WT_RC_GenMul_sopb.result,34.37
64_64_U_SP_WT_SE_GenMul_sopb.result,34.72
64_64_U1_WT_BK_Multgen_sopb.result,35.09
64_64_U1_DT_BK_Multgen_sopb.result,37.83
64_64_U_SP_DT_RC_GenMul_sopb.result,37.97
64_64_U_SP_WT_BK_GenMul_sopb.result,38.33
64_64_U_SP_DT_LF_GenMul_sopb.result,39.79
64_64_U_SP_WT_CK_GenMul_sopb.result,41.88
64_64_U1_DT_JCA_Multgen_sopb.result,42.85
64_64_U_SP_CWT_LF_GenMul_sopb.result,43.42
64_64_U2_DT_RC_Multgen_sopb.result,48.45
64_64_U1_DT_HCA_Multgen_sopb.result,52.56
64_64_U1_WT_LF_Multgen_sopb.result,53.56
64_64_U1_WT_JCA_Multgen_sopb.result,54.41
64_64_U1_WT_HCA_Multgen_sopb.result,55.15
64_64_U_SP_DT_KS_GenMul_sopb.result,56.49
64_64_U_SP_WT_KS_GenMul_sopb.result,60.21
64_64_U1_WT_KS_Multgen_sopb.result,65.30
64_64_U1_DT_KS_Multgen_sopb.result,68.43
64_64_U1_4to2_RC_Multgen_sopb.result,72.81
64_64_U2_DT_BK_Multgen_sopb.result,73.55
64_64_U_SP_CWT_KS_GenMul_sopb.result,73.63
64_64_U2_WT_RC_Multgen_sopb.result,78.28
64_64_U2_DT_JCA_Multgen_sopb.result,84.07
64_64_U2_DT_LF_Multgen_sopb.result,85.11
64_64_U2_WT_BK_Multgen_sopb.result,96.04
64_64_U2_DT_HCA_Multgen_sopb.result,96.46
64_64_U_SP_DT_CL_GenMul_sopb.result,99.20
64_64_U_SP_WT_CL_GenMul_sopb.result,100.78
64_64_U2_WT_HCA_Multgen_sopb.result,111.77
64_64_U2_DT_KS_Multgen_sopb.result,112.69
64_64_U2_WT_JCA_Multgen_sopb.result,119.04
64_64_U_SP_CWT_CL_GenMul_sopb.result,122.53
64_64_U2_WT_LF_Multgen_sopb.result,132.89
64_64_U2_WT_KS_Multgen_sopb.result,152.32
64_64_U2_4to2_RC_Multgen_sopb.result,156.73
64_64_U2_4to2_JCA_Multgen_sopb.result,265.08
64_64_U2_4to2_BK_Multgen_sopb.result,270.41
64_64_U1_4to2_JCA_Multgen_sopb.result,280.47
64_64_U2_4to2_LF_Multgen_sopb.result,281.56
64_64_U1_4to2_BK_Multgen_sopb.result,285.60
64_64_U2_4to2_HCA_Multgen_sopb.result,318.25
64_64_U1_4to2_LF_Multgen_sopb.result,323.45
64_64_U1_4to2_HCA_Multgen_sopb.result,387.13
64_64_U1_4to2_KS_Multgen_sopb.result,409.33
64_64_U2_4to2_KS_Multgen_sopb.result,488.22
64_64_U_SP_AR_CL_GenMul_sopb.result,1478.86
64_64_U_SP_AR_LF_GenMul_sopb.result,1511.56
64_64_U_SP_AR_KS_GenMul_sopb.result,1549.78
64_64_U_SP_AR_SE_GenMul_sopb.result,1549.85
64_64_U_SP_AR_RC_GenMul_sopb.result,1581.57
64_64_U_SP_AR_CK_GenMul_sopb.result,1630.24
64_64_U_SP_AR_BK_GenMul_sopb.result,1635.67
