index,default_and,dc2_and,diff,rel_diff(% )
1,41866,33255,-8611,-20.5680
2,42469,33346,-9123,-21.4816
3,42454,33378,-9076,-21.3784
4,43402,33811,-9591,-22.0981
5,42454,33378,-9076,-21.3784
6,41764,33176,-8588,-20.5632
7,48092,36108,-11984,-24.9189
8,48695,36274,-12421,-25.5078
9,48680,36247,-12433,-25.5403
10,49640,36636,-13004,-26.1966
11,48680,36247,-12433,-25.5403
12,48000,36032,-11968,-24.9333
13,49944,37543,-12401,-24.8298
14,50481,37661,-12820,-25.3957
15,50433,37656,-12777,-25.3346
16,51336,37969,-13367,-26.0383
17,50433,37656,-12777,-25.3346
18,49856,37407,-12449,-24.9699
19,52251,43061,-9190,-17.5882
20,52854,43170,-9684,-18.3222
21,52854,43231,-9623,-18.2068
22,53803,43706,-10097,-18.7666
23,52854,43231,-9623,-18.2068
24,52149,42989,-9160,-17.5651
25,58432,45767,-12665,-21.6748
26,59035,45930,-13105,-22.1987
27,59035,45898,-13137,-22.2529
28,59998,46366,-13632,-22.7208
29,59035,45898,-13137,-22.2529
30,58342,45705,-12637,-21.6602
31,60280,47209,-13071,-21.6838
32,60817,47325,-13492,-22.1846
33,60778,47363,-13415,-22.0721
34,61690,47717,-13973,-22.6503
35,60778,47363,-13415,-22.0721
36,60194,47104,-13090,-21.7464
37,48032,35990,-12042,-25.0708
38,48072,36080,-11992,-24.9459
39,53549,35988,-17561,-32.7943
40,48635,36112,-12523,-25.7489
41,48248,36025,-12223,-25.3337
42,48000,36030,-11970,-24.9375
43,47876,35968,-11908,-24.8726
44,48563,38764,-9799,-20.1779
45,48606,38784,-9822,-20.2074
46,68951,39100,-29851,-43.2931
47,50006,39223,-10783,-21.5634
48,49082,38895,-10187,-20.7551
49,48478,38674,-9804,-20.2236
50,48242,38560,-9682,-20.0696
51,48092,36100,-11992,-24.9355
52,48136,36149,-11987,-24.9024
53,71000,36476,-34524,-48.6254
54,49640,36740,-12900,-25.9871
55,48680,36235,-12445,-25.5649
56,48000,36032,-11968,-24.9333
57,47750,35907,-11843,-24.8021
58,49944,37523,-12421,-24.8699
59,49984,37525,-12459,-24.9260
60,69291,37667,-31624,-45.6394
61,51336,37997,-13339,-25.9837
62,50433,37627,-12806,-25.3921
63,49856,37418,-12438,-24.9478
64,49626,37302,-12324,-24.8338
total,3319966,2503704,-816262,
average_abs_diff,-12754.093750
mean_squared_abs_diff,183771145.562500
average_rel_diff,,-0.24252655,,-24.2527%
mean_squared_rel_diff,,0.06186412,,6.1864%
overall_ratio(dc2/default),,0.75413543
overall_rel_diff,,-0.24586457,,-24.5865%
