base_name,runtime_seconds,dataset_type
32_32_U1_4to2_BK_Multgen_dc2,.036195956,train
32_32_U1_4to2_HCA_Multgen_dc2,.032506066,train
32_32_U1_4to2_JCA_Multgen_dc2,.031408645,train
32_32_U1_4to2_KS_Multgen_dc2,.034709617,train
32_32_U1_4to2_LF_Multgen_dc2,.030900145,train
32_32_U1_4to2_RC_Multgen_dc2,.033726729,train
32_32_U1_DT_BK_Multgen_dc2,.031574399,train
32_32_U1_DT_HCA_Multgen_dc2,.032089368,train
32_32_U1_DT_JCA_Multgen_dc2,.036606354,train
32_32_U1_DT_KS_Multgen_dc2,.030931215,train
32_32_U1_DT_LF_Multgen_dc2,.033768649,train
32_32_U1_DT_RC_Multgen_dc2,.031684060,train
32_32_U1_WT_BK_Multgen_dc2,.032803802,train
32_32_U1_WT_HCA_Multgen_dc2,.036802688,train
32_32_U1_WT_JCA_Multgen_dc2,.033266120,train
32_32_U1_WT_KS_Multgen_dc2,.033284241,train
32_32_U1_WT_LF_Multgen_dc2,.033783810,train
32_32_U1_WT_RC_Multgen_dc2,.033604176,train
32_32_U2_4to2_BK_Multgen_dc2,.036950630,train
32_32_U2_4to2_HCA_Multgen_dc2,.034925511,train
32_32_U2_4to2_JCA_Multgen_dc2,.037173284,train
32_32_U2_4to2_KS_Multgen_dc2,.034801219,train
32_32_U2_4to2_LF_Multgen_dc2,.035579834,train
32_32_U2_4to2_RC_Multgen_dc2,.034123576,train
32_32_U2_DT_BK_Multgen_dc2,.033779960,train
32_32_U2_DT_HCA_Multgen_dc2,.033898562,train
32_32_U2_DT_JCA_Multgen_dc2,.034012015,train
32_32_U2_DT_KS_Multgen_dc2,.033201989,train
32_32_U2_DT_LF_Multgen_dc2,.034396052,train
32_32_U2_DT_RC_Multgen_dc2,.034481443,train
32_32_U2_WT_BK_Multgen_dc2,.034284880,train
32_32_U2_WT_HCA_Multgen_dc2,.033718608,train
32_32_U2_WT_JCA_Multgen_dc2,.034034305,train
32_32_U2_WT_KS_Multgen_dc2,.034673647,train
32_32_U2_WT_LF_Multgen_dc2,.034198297,train
32_32_U2_WT_RC_Multgen_dc2,.033911143,train
32_32_U_SP_AR_BK_GenMul_dc2,.030940676,train
32_32_U_SP_AR_CK_GenMul_dc2,.030902785,train
32_32_U_SP_AR_CL_GenMul_dc2,.036294018,train
32_32_U_SP_AR_KS_GenMul_dc2,.031417795,train
32_32_U_SP_AR_LF_GenMul_dc2,.035293098,train
32_32_U_SP_AR_RC_GenMul_dc2,.032435644,train
32_32_U_SP_AR_SE_GenMul_dc2,.033060107,train
32_32_U_SP_CWT_BK_GenMul_dc2,.033661218,train
32_32_U_SP_CWT_CK_GenMul_dc2,.033831361,train
32_32_U_SP_CWT_CL_GenMul_dc2,.035500462,train
32_32_U_SP_CWT_KS_GenMul_dc2,.033120588,train
32_32_U_SP_CWT_LF_GenMul_dc2,.032790921,train
32_32_U_SP_CWT_RC_GenMul_dc2,.035342520,train
32_32_U_SP_CWT_SE_GenMul_dc2,.033366942,train
32_32_U_SP_DT_BK_GenMul_dc2,.037368388,train
